0.46795 - 1102,742 - Button.right
0.57588 - 1093,613 - Button.right
0.68301 - 1183,514 - Button.right
0.79136 - 1188,507 - Button.right
0.89838 - 1158,342 - Button.right
1.02459 - 1141,362 - Button.right
1.14580 - 1147,363 - Button.right
1.26902 - 1155,368 - Button.right
1.37239 - 1168,384 - Button.right
1.48326 - 1151,420 - Button.right
1.59693 - 1175,414 - Button.right
1.71519 - 1153,433 - Button.right
1.81369 - 1164,481 - Button.right
1.90187 - 1159,486 - Button.right
2.32497 - 1120,495 - Button.right
2.41998 - 1095,501 - Button.right
2.53031 - 1094,503 - Button.right
2.62998 - 1090,504 - Button.right
3.01753 - 1103,454 - Button.right
3.10595 - 1103,451 - Button.right
4.00185 - 782,1093 - Button.left
4.09650 - 782,1092 - Button.left
4.73800 - 1086,527 - Button.right
4.80936 - 1084,527 - Button.right
4.93403 - 1069,519 - Button.right
5.04102 - 1071,519 - Button.right
5.22862 - 1094,535 - Button.right
5.35004 - 1094,540 - Button.right
5.45262 - 1094,540 - Button.right
5.57227 - 1086,542 - Button.right
5.66796 - 1086,542 - Button.right
5.79246 - 1086,542 - Button.right
5.89062 - 1086,542 - Button.right
6.00401 - 1085,542 - Button.right
6.50801 - 1022,444 - Button.right
6.63202 - 1022,444 - Button.right
7.54048 - 1070,544 - Button.right
7.63866 - 1070,545 - Button.right
8.58550 - 1096,394 - Button.right
8.62794 - 1096,394 - Button.right
9.10993 - 1246,381 - Button.right
9.19907 - 1254,381 - Button.right
9.73157 - 1491,337 - Button.right
9.83101 - 1534,353 - Button.right
9.92582 - 1473,447 - Button.right
10.02135 - 1442,515 - Button.right
10.12862 - 1475,528 - Button.right
10.22510 - 1487,532 - Button.right
10.32514 - 1571,541 - Button.right
10.43115 - 1584,572 - Button.right
10.51664 - 1584,573 - Button.right
10.60396 - 1582,583 - Button.right
10.70317 - 1600,582 - Button.right
10.79474 - 1598,584 - Button.right
10.89578 - 1607,583 - Button.right
10.98551 - 1607,583 - Button.right
11.09036 - 1616,563 - Button.right
11.19873 - 1620,563 - Button.right
14.11019 - 1390,1237 - Button.left
14.18106 - 1390,1237 - Button.left
20.30899 - 1153,278 - Button.right
20.41882 - 1153,278 - Button.right
23.43101 - 214,619 - Button.left
23.50737 - 214,619 - Button.left
24.37391 - 1309,380 - Button.right
24.51833 - 1314,373 - Button.right
25.56283 - 1892,1128 - Button.left
25.65139 - 1891,1128 - Button.left
27.59748 - 1809,1047 - Button.left
27.72348 - 1809,1047 - Button.left
37.10663 - 1878,1132 - Button.left
37.20835 - 1878,1132 - Button.left
41.72918 - 2010,1195 - Button.left
41.83251 - 2010,1199 - Button.left
46.67442 - 1086,577 - Button.right
46.85477 - 1067,554 - Button.right
46.90837 - 1061,529 - Button.right
47.00111 - 1076,540 - Button.right
47.07119 - 1077,537 - Button.right
47.18230 - 1085,538 - Button.right
47.27451 - 1119,551 - Button.right
47.39350 - 1113,550 - Button.right
47.46481 - 1113,550 - Button.right
47.57491 - 1111,550 - Button.right
47.65479 - 1109,552 - Button.right
47.76486 - 1108,560 - Button.right
47.85443 - 1107,559 - Button.right
47.96493 - 1107,559 - Button.right
48.05003 - 1110,553 - Button.right
48.15254 - 1111,553 - Button.right
48.23928 - 1111,553 - Button.right
48.34168 - 1111,553 - Button.right
48.43431 - 1110,553 - Button.right
48.55065 - 1109,553 - Button.right
48.63812 - 1109,554 - Button.right
48.74465 - 1109,554 - Button.right
48.82588 - 1109,554 - Button.right
48.93686 - 1108,554 - Button.right
49.03254 - 1108,554 - Button.right
49.14852 - 1108,554 - Button.right
49.23751 - 1108,554 - Button.right
49.34497 - 1108,554 - Button.right
49.43784 - 1108,554 - Button.right
49.55359 - 1108,554 - Button.right
49.64842 - 1108,554 - Button.right
49.76556 - 1108,554 - Button.right
49.85782 - 1108,554 - Button.right
49.99113 - 1108,554 - Button.right
50.10211 - 1108,554 - Button.right
50.21680 - 1108,554 - Button.right
50.72101 - 1115,621 - Button.right
50.82487 - 1112,630 - Button.right
51.21986 - 1102,648 - Button.right
51.33129 - 1102,648 - Button.right
57.60179 - 757,749 - Button.right
57.69805 - 757,749 - Button.right
58.50050 - 1082,603 - Button.right
58.57777 - 1084,592 - Button.right
58.69605 - 1113,551 - Button.right
58.79318 - 1122,483 - Button.right
58.87502 - 1151,403 - Button.right
58.97712 - 1163,416 - Button.right
59.45653 - 1222,156 - Button.right
59.54203 - 1222,151 - Button.right
59.63774 - 1225,141 - Button.right
59.73800 - 1230,149 - Button.right
60.26860 - 996,198 - Button.right
60.36452 - 996,201 - Button.right
60.48621 - 938,227 - Button.right
60.58714 - 870,263 - Button.right
60.68024 - 857,276 - Button.right
60.80353 - 845,326 - Button.right
60.92360 - 833,376 - Button.right
61.03025 - 832,386 - Button.right
61.74244 - 864,605 - Button.right
61.83130 - 810,676 - Button.right
61.94514 - 806,704 - Button.right
62.02058 - 758,762 - Button.right
62.22012 - 898,362 - Button.right
62.30220 - 900,411 - Button.right
62.42305 - 964,355 - Button.right
62.52770 - 1001,291 - Button.right
62.61674 - 1138,250 - Button.right
62.72254 - 1148,262 - Button.right
62.81843 - 1186,286 - Button.right
62.93502 - 1178,374 - Button.right
63.02861 - 1180,408 - Button.right
63.12727 - 1154,502 - Button.right
63.46474 - 1277,763 - Button.right
63.57284 - 1291,805 - Button.right
63.69881 - 1247,850 - Button.right
63.81510 - 1247,833 - Button.right
63.98269 - 1354,651 - Button.right
64.07517 - 1291,447 - Button.right
64.16347 - 1263,436 - Button.right
64.27071 - 1213,442 - Button.right
64.37028 - 1133,370 - Button.right
64.47201 - 1129,355 - Button.right
64.55036 - 1125,285 - Button.right
64.65714 - 1116,315 - Button.right
65.08237 - 1133,648 - Button.right
65.15252 - 1145,667 - Button.right
65.25602 - 1120,662 - Button.right
65.38917 - 1005,748 - Button.right
65.48670 - 959,795 - Button.right
65.58307 - 934,834 - Button.right
65.67566 - 886,849 - Button.right
65.80639 - 885,849 - Button.right
65.86711 - 874,849 - Button.right
65.97575 - 833,891 - Button.right
66.06619 - 730,920 - Button.right
66.15519 - 661,943 - Button.right
66.24120 - 658,934 - Button.right
66.35415 - 645,940 - Button.right
66.56625 - 868,623 - Button.right
66.65535 - 860,598 - Button.right
66.73194 - 982,439 - Button.right
66.86881 - 1045,401 - Button.right
66.94575 - 1102,332 - Button.right
67.06316 - 1120,301 - Button.right
67.15171 - 1174,222 - Button.right
67.26564 - 1188,197 - Button.right
67.73412 - 1239,277 - Button.right
67.81705 - 1240,278 - Button.right
67.91118 - 1313,267 - Button.right
68.03369 - 1314,272 - Button.right
69.37415 - 1262,302 - Button.right
69.46222 - 1272,303 - Button.right
69.57362 - 1330,258 - Button.right
69.66516 - 1337,250 - Button.right
70.49526 - 1187,390 - Button.right
70.59928 - 1187,390 - Button.right
71.10787 - 1286,354 - Button.right
71.22216 - 1295,356 - Button.right
71.91589 - 1330,178 - Button.right
72.05587 - 1314,197 - Button.right
72.13924 - 1328,252 - Button.right
72.27013 - 1332,362 - Button.right
72.35229 - 1335,483 - Button.right
72.45515 - 1333,562 - Button.right
72.54927 - 1345,554 - Button.right
72.65024 - 1348,550 - Button.right
74.05859 - 1199,642 - Button.right
74.14951 - 1200,642 - Button.right
75.69950 - 1133,680 - Button.right
75.79685 - 1133,680 - Button.right
79.79795 - 1320,208 - Button.right
79.89145 - 1321,208 - Button.right
80.00550 - 1389,218 - Button.right
80.12943 - 1394,218 - Button.right
80.68177 - 1537,338 - Button.right
80.78479 - 1536,338 - Button.right
80.87349 - 1533,335 - Button.right
80.99596 - 1529,326 - Button.right
81.51542 - 1334,209 - Button.right
81.61359 - 1324,214 - Button.right
81.68339 - 1275,273 - Button.right
81.80773 - 1250,322 - Button.right
81.87837 - 1242,334 - Button.right
81.99688 - 1197,373 - Button.right
82.55160 - 1065,421 - Button.right
82.62719 - 1072,434 - Button.right
83.49451 - 792,595 - Button.right
83.61443 - 799,596 - Button.right
84.77647 - 1361,345 - Button.right
84.87947 - 1377,348 - Button.right
85.00408 - 1361,358 - Button.right
85.11647 - 1328,379 - Button.right
85.71642 - 1251,443 - Button.right
85.80750 - 1219,474 - Button.right
86.47296 - 1377,628 - Button.right
86.56225 - 1376,628 - Button.right
86.65703 - 1388,677 - Button.right
86.75728 - 1368,744 - Button.right
87.17315 - 1112,923 - Button.right
87.29289 - 1120,922 - Button.right
87.80038 - 1226,446 - Button.right
87.89875 - 1256,380 - Button.right
87.98692 - 1251,337 - Button.right
88.08089 - 1246,332 - Button.right
88.16305 - 1184,359 - Button.right
88.28002 - 1072,438 - Button.right
88.35869 - 1058,432 - Button.right
88.48216 - 1053,437 - Button.right
88.56455 - 1048,443 - Button.right
88.66228 - 1040,448 - Button.right
88.74842 - 1040,448 - Button.right
88.84754 - 1040,448 - Button.right
89.17403 - 918,568 - Button.right
89.26129 - 918,568 - Button.right
89.35607 - 894,580 - Button.right
89.45062 - 872,579 - Button.right
89.55088 - 830,528 - Button.right
89.68193 - 808,536 - Button.right
89.75214 - 783,538 - Button.right
89.87728 - 772,554 - Button.right
89.97047 - 772,554 - Button.right
90.07259 - 772,563 - Button.right
90.19028 - 770,561 - Button.right
90.30442 - 770,560 - Button.right
91.05958 - 810,476 - Button.right
91.18714 - 810,477 - Button.right
91.62951 - 795,553 - Button.right
91.72136 - 802,555 - Button.right
94.45265 - 714,658 - Button.right
94.53333 - 714,657 - Button.right
96.13641 - 953,500 - Button.right
96.24173 - 952,500 - Button.right
96.52571 - 1118,373 - Button.right
96.62680 - 1120,373 - Button.right
96.87320 - 1205,352 - Button.right
96.97873 - 1208,353 - Button.right
97.79075 - 916,516 - Button.right
97.90636 - 826,646 - Button.right
98.24178 - 797,459 - Button.right
98.35978 - 823,394 - Button.right
99.66579 - 848,1112 - Button.left
99.75367 - 846,1111 - Button.left
100.28674 - 682,668 - Button.right
100.39232 - 691,662 - Button.right
101.74483 - 1065,418 - Button.right
101.83779 - 1065,418 - Button.right
102.38146 - 1642,370 - Button.right
102.68965 - 1646,357 - Button.right
102.78568 - 1646,338 - Button.right
102.88946 - 1654,341 - Button.right
102.99880 - 1660,339 - Button.right
103.10586 - 1660,341 - Button.right
103.82585 - 1642,319 - Button.right
103.91282 - 1636,283 - Button.right
104.01776 - 1564,203 - Button.right
104.12379 - 1406,272 - Button.right
104.20559 - 1334,315 - Button.right
104.31024 - 1323,323 - Button.right
107.23690 - 1396,428 - Button.right
107.33224 - 1400,441 - Button.right
107.42294 - 1399,445 - Button.right
107.53112 - 1402,448 - Button.right
107.72286 - 1570,432 - Button.right
107.82788 - 1595,387 - Button.right
107.91298 - 1787,239 - Button.right
108.02348 - 1735,247 - Button.right
108.89163 - 1692,232 - Button.right
109.00048 - 1695,232 - Button.right
109.45983 - 1491,439 - Button.right
109.55597 - 1491,439 - Button.right
110.01298 - 1764,422 - Button.right
110.10906 - 1776,424 - Button.right
110.87683 - 1770,307 - Button.right
110.97181 - 1755,303 - Button.right
111.64926 - 1486,395 - Button.right
111.75065 - 1486,396 - Button.right
112.23400 - 1606,452 - Button.right
112.33023 - 1606,450 - Button.right
112.54348 - 1612,289 - Button.right
112.66977 - 1608,283 - Button.right
113.23597 - 1831,250 - Button.right
113.32747 - 1864,268 - Button.right
113.45657 - 1892,268 - Button.right
113.57355 - 1905,300 - Button.right
114.03237 - 1883,51 - Button.right
114.13719 - 1879,42 - Button.right
114.23906 - 1889,53 - Button.right
114.34799 - 1918,107 - Button.right
114.65854 - 1687,187 - Button.right
114.75134 - 1669,173 - Button.right
114.85807 - 1637,172 - Button.right
114.94990 - 1609,180 - Button.right
115.05368 - 1605,175 - Button.right
115.15308 - 1593,191 - Button.right
115.26124 - 1572,214 - Button.right
115.36955 - 1474,263 - Button.right
115.46003 - 1403,321 - Button.right
115.58077 - 1289,425 - Button.right
115.66702 - 1242,461 - Button.right
115.78054 - 1212,480 - Button.right
115.87043 - 1193,460 - Button.right
115.97750 - 1167,476 - Button.right
116.06005 - 1104,501 - Button.right
116.14951 - 1104,501 - Button.right
116.72390 - 994,499 - Button.right
116.83870 - 994,498 - Button.right
116.92408 - 981,508 - Button.right
117.04453 - 921,545 - Button.right
117.14478 - 891,582 - Button.right
117.25136 - 875,607 - Button.right
118.27568 - 950,415 - Button.right
118.37714 - 1000,430 - Button.right
118.45613 - 975,432 - Button.right
118.57901 - 821,621 - Button.right
118.66931 - 771,693 - Button.right
118.75915 - 746,728 - Button.right
118.93908 - 1133,542 - Button.right
119.04447 - 1182,642 - Button.right
119.14116 - 1175,697 - Button.right
119.22322 - 1180,701 - Button.right
119.33671 - 1254,727 - Button.right
119.42403 - 1265,731 - Button.right
119.55217 - 1352,617 - Button.right
119.64472 - 1352,616 - Button.right
119.73713 - 1411,550 - Button.right
119.84861 - 1414,547 - Button.right
119.94110 - 1431,533 - Button.right
120.04454 - 1444,535 - Button.right
120.52098 - 1199,638 - Button.right
120.61626 - 1199,638 - Button.right
