time,actions
0,17
1,6
2,12
3,22
5,3
6,8
8,34
9,52
10,2
11,9
12,15
13,1
14,4
15,12
16,16
17,6
18,8
19,13
20,4
21,9
22,27
23,1
24,13
25,23
26,2
27,4
28,18
29,6
30,13
31,12
32,11
33,14
34,60
35,7
36,22
37,7
38,8
39,7
40,57
41,38
42,13
43,12
44,11
45,15
46,4
47,9
48,10
49,42
50,5
51,9
52,24
53,26
54,78
55,34
56,20
57,70
58,8
59,4
60,11
61,3
62,32
63,12
64,41
65,28
66,19
67,5
68,8
69,12
70,24
71,43
72,39
73,37
74,46
75,24
76,32
77,22
78,83
79,51
80,87
81,33
82,59
83,51
84,13
85,38
86,19
87,53
88,38
89,47
90,24
91,26
92,11
93,30
94,10
95,52
96,32
97,48
98,73
99,12
100,14
101,33
102,2
103,12
104,36
105,31
106,6
107,73
108,7
109,6
111,4
112,29
113,89
114,45
115,74
116,6
117,5
118,6
119,15
120,22
121,30
122,31
125,11
126,36
127,54
128,70
129,64
130,51
131,4
132,18
133,4
134,3
135,55
136,61
137,65
138,49
139,3
140,8
141,3
142,7
143,36
144,25
145,28
146,42
147,37
148,33
149,14
150,57
151,8
152,16
154,9
155,34
156,76
157,32
158,39
159,12
160,21
161,62
162,75
163,7
164,33
165,42
166,84
167,4
168,28
169,48
