1.77100-959,1066-513
2.91500-1048,537-513
30.21800-1219,1048-513
33.27000-358,224-516
34.07800-416,224-516
34.26500-414,224-516
34.85900-450,221-516
42.88500-894,936-513
47.34300-1795,891-516
48.07400-1791,899-516
49.53700-1790,899-513
55.23400-1789,894-513
56.43700-1743,848-516
57.11000-1729,838-516
57.76900-1720,831-516
58.54800-1722,834-516
61.68100-1722,834-516
64.47300-1795,903-516
65.29400-1789,903-516
66.13200-1789,903-513
67.32900-999,610-513
70.17100-1198,259-516
73.87500-1193,415-516
104.30300-936,673-513
117.21300-932,679-513
128.31600-1003,496-516
128.50500-987,507-516
128.91600-1047,410-516
131.60300-1092,378-516
132.71100-1090,509-516
133.53200-1082,506-513
133.94600-1078,496-516
134.12200-1078,496-516
134.34300-1077,496-516
134.54500-1077,496-516
134.76200-1073,479-516
134.96300-1073,479-516
135.19600-1073,485-516
146.54400-1084,493-513
148.02000-1093,485-516
148.19100-1090,484-516
153.12800-1216,1050-513
160.53600-415,236-516
161.31800-415,236-516
162.72100-1723,827-513
165.27100-1111,657-513
169.46800-600,572-516
169.63300-600,572-516
169.96400-602,568-516
170.14900-603,568-516
171.74200-1018,502-516
171.89400-1028,500-516
173.28700-982,526-516
173.45400-982,526-516
175.02200-569,676-513
175.48800-1155,433-516
175.73100-1167,403-516
177.21100-1146,361-516
177.41800-1095,331-516
178.18000-1238,285-516
178.37700-1270,392-516
179.81500-755,914-513
180.22500-1148,309-516
180.40800-1172,288-516
180.61000-1101,292-516
180.82700-1133,262-516
181.09600-911,331-516
181.30300-786,408-516
181.52400-751,446-516
181.96500-775,464-516
183.26600-1144,244-516
183.44500-1175,270-516
183.69200-1190,336-516
184.48700-1257,366-516
185.01300-1256,465-516
185.70000-1271,365-516
185.95200-1149,363-516
186.36600-1239,270-516
186.56300-1259,259-516
187.05700-1386,307-516
188.15300-1347,169-516
188.33900-1298,146-516
188.51800-1257,133-516
189.07100-1511,365-516
189.25500-1591,392-516
189.87700-1452,343-516
190.08000-1488,380-516
190.57500-994,335-516
190.76400-958,335-516
191.03100-900,421-516
191.40700-833,484-516
191.95300-829,476-516
193.11000-930,334-516
193.31200-914,348-516
193.49300-834,362-516
193.98600-725,512-516
195.22900-626,600-516
195.59000-704,554-516
197.44800-830,517-516
198.01400-1057,486-516
198.19500-1053,496-516
198.83800-843,590-516
199.60000-980,478-516
199.79300-1022,524-516
200.22900-870,668-516
201.43200-1101,419-516
201.60000-1153,450-516
201.78900-1158,524-516
202.80700-473,585-513
203.54300-1173,428-516
203.73400-1209,530-516
205.37600-752,510-516
205.61500-813,562-516
205.90100-805,548-516
206.12000-828,545-516
206.54000-831,529-516
206.73600-830,548-516
206.94600-825,556-516
208.03600-878,533-516
208.24200-859,559-516
209.94000-573,613-516
210.47100-566,627-516
212.06400-1023,549-516
212.27500-1017,548-516
212.73200-894,594-516
213.45800-826,919-513
213.87700-956,535-516
214.05300-953,532-516
214.39200-919,582-516
214.59700-794,703-516
214.77100-793,703-516
216.04800-973,513-516
216.23800-1006,475-516
216.46500-1011,504-516
216.70900-942,431-516
216.91600-970,380-516
220.97800-1058,459-516
221.36300-1145,284-516
221.54600-1150,286-516
221.73800-1170,294-516
221.94400-1185,319-516
222.51500-967,433-513
222.87500-1264,320-516
223.05500-1316,338-516
223.61200-1093,570-516
223.81800-1085,656-516
224.02200-1005,677-516
224.24600-974,591-516
224.46100-988,602-516
224.95400-1072,395-516
225.75000-836,564-516
226.47200-756,425-513
227.37900-1022,365-516
227.59600-1076,401-516
228.01100-798,475-516
228.21500-764,508-516
228.45700-786,557-516
229.51300-769,496-516
229.80400-764,495-516
230.01900-760,492-516
230.22500-750,490-516
230.54100-754,410-516
230.73600-755,410-516
230.93000-751,411-516
231.39700-789,523-516
231.67500-757,493-516
231.86900-752,487-516
232.79000-1111,322-516
232.98500-1141,326-516
233.18100-1204,313-516
233.39700-1231,289-516
233.63300-1291,268-516
233.86100-1327,275-516
234.30000-1375,361-516
234.98700-1375,467-516
235.45100-1214,334-516
235.62900-1049,351-516
235.84700-990,367-516
236.22300-1112,517-516
236.81600-820,501-513
237.05300-1108,323-516
237.22400-1376,263-516
237.42600-1400,255-516
237.65100-1431,259-516
238.62700-1361,147-516
239.78600-1328,133-516
239.98800-1460,220-516
240.20600-1491,331-516
240.43500-1493,366-516
241.14900-1347,253-516
241.32400-1347,252-516
241.79200-1468,351-516
241.99400-1542,385-516
242.20500-1563,382-516
242.84800-1343,206-516
243.05900-1255,282-516
243.34100-1415,249-516
243.55600-1407,230-516
244.08900-1313,322-516
244.29200-1267,387-516
244.52400-894,446-516
245.40000-1124,574-516
245.77500-1248,443-516
245.97300-1343,403-516
246.19000-1382,376-516
246.40200-1420,352-516
246.80300-1491,262-516
247.37000-1102,439-516
247.82200-1131,422-516
251.78100-1089,329-516
252.46700-1066,346-516
253.37600-1037,421-513
254.19000-1028,263-516
254.37800-992,269-516
254.58900-768,369-516
255.83300-772,441-516
256.03200-910,264-516
256.19700-1047,254-516
256.39100-1094,311-516
257.10100-758,932-513
257.49200-1077,478-516
257.79300-1108,448-516
258.03400-1062,524-516
258.24400-1042,528-516
258.99400-969,690-516
259.21300-1091,632-516
259.43700-1352,428-516
259.62900-1277,341-516
259.86100-1173,336-516
260.05800-1132,327-516
260.30000-1063,272-516
260.61600-1213,382-516
260.82500-1177,481-516
261.08000-1121,455-516
261.28300-1113,347-516
261.69200-1070,317-516
261.88800-1102,327-516
262.11000-1178,389-516
262.30900-1186,495-516
262.52700-1154,551-516
262.75200-1090,554-516
262.98400-950,512-516
263.34100-939,435-516
264.27400-1033,318-516
264.46000-1051,320-516
264.83700-1097,254-516
265.03600-1137,239-516
265.27700-1184,248-516
265.48700-1266,276-516
265.73400-1327,410-516
265.95800-1265,547-516
266.19000-1205,561-516
266.43400-1198,558-516
266.70300-1182,562-516
266.95700-1279,462-516
267.17000-1296,385-516
267.41000-1259,327-516
267.67200-1164,273-516
267.90100-1108,279-516
268.12800-1084,326-516
270.63800-1082,413-516
271.47400-1313,265-516
271.66900-1301,398-516
271.85900-1204,479-516
272.04600-1122,532-516
272.70600-846,450-513
273.28200-885,446-513
274.17000-736,370-513
274.49200-774,379-516
274.66900-768,384-516
274.91100-906,337-516
275.13200-1061,289-516
275.30900-1180,245-516
275.52500-1196,243-516
275.73600-1225,235-516
275.94100-1222,266-516
276.15500-1236,270-516
276.69400-1129,241-516
276.91800-1196,201-516
277.13100-1206,183-516
277.90400-765,303-513
278.16800-1033,181-516
278.37000-1232,175-516
279.44400-1098,539-516
279.66100-1112,580-516
279.90500-1140,610-516
280.14000-1211,642-516
280.36300-1322,594-516
280.56100-1467,497-516
281.17600-1351,620-516
281.39300-1347,664-516
281.67700-1376,722-516
281.90600-1278,820-516
282.12100-1117,863-516
282.72900-834,832-516
283.70000-1445,321-516
283.87800-1440,341-516
284.07500-1440,362-516
284.29000-1451,366-516
284.53600-1480,352-516
284.84300-1043,338-516
285.06900-1107,374-516
285.33200-1143,504-516
285.55400-1139,545-516
285.77600-943,612-516
286.04600-818,604-516
286.62700-1128,478-516
286.82000-1097,410-516
287.05500-932,406-516
287.33700-902,415-516
287.57700-920,421-516
287.78200-913,372-516
288.54600-977,568-516
288.74500-1007,549-516
288.95300-1061,509-516
289.17600-989,560-516
289.46700-1093,476-516
289.76500-1085,469-516
290.22600-942,396-516
290.44700-971,377-516
290.64500-1065,396-516
290.98500-1118,522-516
291.19700-1150,545-516
291.58900-1128,402-516
291.79600-1098,398-516
292.66900-478,668-513
293.69600-1377,422-516
293.86000-1395,437-516
295.50800-1243,247-516
295.72400-1274,217-516
296.33100-1173,346-516
297.17200-1095,425-516
297.43400-877,465-516
297.76700-859,345-516
297.94700-829,405-516
298.14000-827,408-516
298.40200-791,434-516
298.64500-783,436-516
298.87600-769,438-516
299.43200-1031,280-516
299.61100-1132,299-516
299.84100-1156,340-516
300.74000-1319,555-516
301.59500-1114,425-516
301.77400-1087,455-516
301.97300-1066,485-516
302.16400-908,529-516
302.33900-936,554-516
302.74400-1031,580-516
303.54400-1206,533-516
303.74700-1229,533-516
303.94800-1223,460-516
304.14100-1132,385-516
304.85600-766,923-513
305.12200-1263,568-516
305.30500-1271,597-516
305.49100-1215,643-516
305.72500-1088,651-516
306.84800-1185,386-516
307.03300-1179,387-516
307.24200-1002,417-516
307.44200-892,502-516
308.00700-830,731-516
308.22100-819,727-516
308.88700-446,705-516
309.35700-452,702-516
310.24100-445,702-516
311.24000-869,388-516
311.41700-889,419-516
311.60800-880,478-516
312.05600-941,508-516
312.24900-1032,520-516
312.42000-1065,492-516
312.65700-1066,503-516
312.85400-1097,502-516
313.78900-1368,424-516
313.96300-1368,422-516
315.25300-1308,375-516
315.43200-1307,362-516
315.64100-1301,329-516
316.12300-1130,263-516
317.06800-1343,272-516
317.29500-1255,431-516
317.52100-1241,445-516
317.77200-1276,515-516
318.09000-1303,554-516
318.31500-1336,603-516
318.56100-1402,494-516
318.78200-1148,321-516
319.01800-1172,310-516
319.22600-1152,305-516
320.52600-696,470-513
320.99700-1217,321-516
321.16500-1254,385-516
321.37500-1286,433-516
321.94700-1166,419-516
322.14100-1104,514-516
322.36600-1043,568-516
322.96200-904,334-516
323.79500-724,368-516
324.95800-1024,230-516
325.13900-1062,279-516
325.35100-1205,287-516
326.00000-741,360-516
326.70800-1189,258-516
326.90400-1186,382-516
327.14600-1139,462-516
327.37100-1157,489-516
327.62300-1173,528-516
328.10500-982,286-516
328.39900-843,356-516
328.62600-772,386-516
328.88600-743,383-516
329.13600-731,370-516
330.63700-1068,268-516
330.81500-1121,346-516
331.00900-1157,376-516
331.38600-781,351-516
332.06900-1035,524-516
332.24200-1244,584-516
332.83500-1598,674-516
332.98400-1562,744-516
333.53900-1408,771-516
333.73000-1365,806-516
335.00300-1362,870-513
336.74000-879,183-516
336.91400-858,180-516
337.07500-817,137-516
337.66400-610,520-516
338.53800-1181,298-516
338.72400-1181,206-516
340.17300-679,453-513
340.62900-1430,86-516
341.52300-880,361-516
344.06600-1016,411-516
344.26300-1048,441-516
346.18900-852,217-516
346.41200-850,216-516
347.21800-748,156-516
349.40100-754,217-516
349.60700-765,235-516
349.84500-918,204-516
350.06100-967,298-516
350.25600-1087,277-516
350.46700-1044,312-516
350.84900-1206,313-516
351.05100-1191,360-516
351.31000-1203,380-516
351.59300-1181,461-516
352.15800-1307,328-516
352.38200-1270,337-516
352.63300-1164,348-516
352.87800-1149,408-516
353.12900-1096,472-516
353.37500-882,357-516
