202.84938 - 1337,1248 - Button.left
202.92916 - 1337,1246 - Button.left
206.86710 - 220,232 - Button.right
206.96795 - 220,232 - Button.right
207.62698 - 268,233 - Button.right
207.71314 - 268,232 - Button.right
208.05553 - 268,232 - Button.right
208.12753 - 268,232 - Button.right
208.52037 - 268,232 - Button.right
208.61391 - 268,232 - Button.right
208.73046 - 268,232 - Button.right
208.83887 - 268,232 - Button.right
209.89392 - 1732,0 - Button.right
209.97773 - 1732,0 - Button.right
210.39141 - 2019,210 - Button.right
210.47748 - 2027,206 - Button.right
210.57352 - 2028,207 - Button.right
210.67315 - 2031,207 - Button.right
211.55823 - 1822,254 - Button.right
211.64765 - 1822,253 - Button.right
211.73608 - 1827,260 - Button.right
211.85723 - 1617,263 - Button.right
212.17527 - 0,0 - Button.right
212.26449 - 0,0 - Button.right
212.37781 - 0,1 - Button.right
212.46747 - 1,0 - Button.right
213.37256 - 1853,583 - Button.right
213.48259 - 1838,480 - Button.right
213.57534 - 1846,497 - Button.right
213.65609 - 1842,495 - Button.right
214.23637 - 1838,279 - Button.right
214.32577 - 1813,293 - Button.right
214.41957 - 1820,286 - Button.right
214.50062 - 1818,286 - Button.right
215.85671 - 1770,196 - Button.right
215.91414 - 1776,199 - Button.right
216.02170 - 1776,199 - Button.right
216.11360 - 1767,201 - Button.right
217.12286 - 1357,398 - Button.right
217.19616 - 1356,398 - Button.right
217.32108 - 1350,349 - Button.right
217.42254 - 1350,328 - Button.right
217.52328 - 1353,335 - Button.right
217.60907 - 1354,331 - Button.right
217.71698 - 1354,331 - Button.right
217.81600 - 1354,331 - Button.right
224.94191 - 1207,406 - Button.right
225.04656 - 1207,406 - Button.right
225.12077 - 1207,406 - Button.right
225.25027 - 1208,406 - Button.right
225.29129 - 1205,419 - Button.right
225.42032 - 1204,447 - Button.right
227.11298 - 1128,491 - Button.right
227.16953 - 1127,491 - Button.right
227.27795 - 1126,507 - Button.right
227.38747 - 1126,508 - Button.right
227.50098 - 1126,508 - Button.right
227.60713 - 1126,508 - Button.right
228.14495 - 1126,508 - Button.right
228.19875 - 1126,508 - Button.right
228.33140 - 1126,508 - Button.right
228.41401 - 1126,508 - Button.right
228.51891 - 1126,508 - Button.right
228.60876 - 1126,508 - Button.right
228.71278 - 1126,508 - Button.right
228.82984 - 1126,508 - Button.right
229.84182 - 1276,648 - Button.right
229.92679 - 1278,648 - Button.right
230.00110 - 1278,648 - Button.right
230.10508 - 1282,649 - Button.right
231.21089 - 966,836 - Button.right
231.32118 - 966,836 - Button.right
231.40044 - 964,854 - Button.right
231.51344 - 965,864 - Button.right
231.84543 - 1054,813 - Button.right
231.94137 - 1055,812 - Button.right
232.03219 - 1092,806 - Button.right
232.11929 - 1092,804 - Button.right
233.23348 - 1127,742 - Button.right
233.33126 - 1015,857 - Button.right
233.41461 - 962,893 - Button.right
233.49125 - 897,914 - Button.right
233.56676 - 847,916 - Button.right
233.69142 - 836,923 - Button.right
233.77287 - 760,971 - Button.right
233.87558 - 687,1005 - Button.right
233.94934 - 684,1006 - Button.right
234.05681 - 678,1023 - Button.right
234.14643 - 674,1025 - Button.right
234.27384 - 275,1279 - Button.right
234.47117 - 485,1010 - Button.right
234.56261 - 481,1011 - Button.right
234.66417 - 470,1020 - Button.right
234.77641 - 466,1028 - Button.right
234.88052 - 443,1071 - Button.right
235.00006 - 447,1110 - Button.right
235.49281 - 986,1036 - Button.right
235.58911 - 1001,1043 - Button.right
235.69352 - 1017,1045 - Button.right
235.80144 - 1022,1045 - Button.right
235.92929 - 1038,1049 - Button.right
236.04762 - 1037,1052 - Button.right
236.45182 - 1075,861 - Button.right
236.54469 - 1075,861 - Button.right
236.71113 - 913,844 - Button.right
236.82206 - 825,852 - Button.right
236.92500 - 635,888 - Button.right
237.02934 - 633,889 - Button.right
237.14451 - 676,873 - Button.right
237.23738 - 789,789 - Button.right
237.33121 - 1024,641 - Button.right
237.42064 - 1024,639 - Button.right
237.52147 - 1165,550 - Button.right
237.61739 - 1175,551 - Button.right
237.74061 - 1096,563 - Button.right
237.86211 - 1030,595 - Button.right
237.98471 - 892,633 - Button.right
238.10060 - 840,638 - Button.right
238.19119 - 862,627 - Button.right
238.30527 - 862,627 - Button.right
238.40768 - 856,642 - Button.right
238.51231 - 863,656 - Button.right
238.74559 - 952,615 - Button.right
238.84680 - 952,610 - Button.right
238.95412 - 988,579 - Button.right
239.03569 - 1007,558 - Button.right
239.11349 - 1163,476 - Button.right
239.21054 - 1366,363 - Button.right
239.73982 - 1360,482 - Button.right
239.82882 - 1365,485 - Button.right
239.93577 - 1411,532 - Button.right
240.02486 - 1416,535 - Button.right
240.14228 - 1440,551 - Button.right
240.23393 - 1444,552 - Button.right
240.34403 - 1445,551 - Button.right
240.43485 - 1448,552 - Button.right
240.53614 - 1480,542 - Button.right
240.62877 - 1483,543 - Button.right
240.77156 - 1561,469 - Button.right
240.89967 - 1566,471 - Button.right
241.76991 - 1191,752 - Button.right
241.87808 - 1121,803 - Button.right
242.01306 - 1065,846 - Button.right
242.07586 - 1067,834 - Button.right
242.19641 - 1087,714 - Button.right
242.26708 - 1056,761 - Button.right
242.38540 - 763,937 - Button.right
242.47169 - 695,989 - Button.right
242.55515 - 654,1000 - Button.right
242.66775 - 621,1014 - Button.right
242.76597 - 493,1049 - Button.right
242.89287 - 403,1106 - Button.right
243.47297 - 651,1058 - Button.right
243.59511 - 651,1058 - Button.right
244.02595 - 589,822 - Button.right
244.12794 - 565,857 - Button.right
244.23407 - 453,948 - Button.right
244.35016 - 388,1013 - Button.right
244.44881 - 405,1024 - Button.right
244.56755 - 422,1032 - Button.right
244.69220 - 417,1052 - Button.right
244.81102 - 241,1271 - Button.right
245.24813 - 613,857 - Button.right
245.34214 - 568,870 - Button.right
245.95744 - 865,391 - Button.right
246.05224 - 735,392 - Button.right
246.14912 - 679,400 - Button.right
246.25414 - 648,412 - Button.right
246.35789 - 647,456 - Button.right
246.47457 - 622,531 - Button.right
247.05023 - 696,692 - Button.right
247.13066 - 677,703 - Button.right
247.25834 - 625,712 - Button.right
247.35513 - 488,688 - Button.right
247.47509 - 526,642 - Button.right
247.57088 - 592,667 - Button.right
248.05135 - 768,716 - Button.right
248.13832 - 768,715 - Button.right
248.27075 - 877,671 - Button.right
248.38020 - 878,671 - Button.right
248.80882 - 776,635 - Button.right
248.90263 - 776,634 - Button.right
249.34986 - 685,596 - Button.right
249.45141 - 675,597 - Button.right
249.56143 - 675,599 - Button.right
249.65240 - 662,600 - Button.right
249.75829 - 575,601 - Button.right
249.86859 - 440,595 - Button.right
251.04163 - 1313,1163 - Button.left
251.63347 - 1351,1154 - Button.left
252.38975 - 495,575 - Button.right
252.46593 - 495,575 - Button.right
252.55957 - 492,609 - Button.right
252.65446 - 494,612 - Button.right
252.76258 - 497,612 - Button.right
252.86562 - 500,611 - Button.right
253.01561 - 500,611 - Button.right
253.11856 - 506,611 - Button.right
253.22871 - 556,565 - Button.right
253.32558 - 570,570 - Button.right
253.41964 - 586,574 - Button.right
253.52870 - 594,554 - Button.right
254.10823 - 781,535 - Button.right
254.20667 - 785,535 - Button.right
254.30366 - 788,554 - Button.right
254.40509 - 791,567 - Button.right
254.49334 - 794,582 - Button.right
254.60010 - 796,582 - Button.right
255.92140 - 855,473 - Button.right
256.02363 - 748,581 - Button.right
256.12294 - 663,654 - Button.right
256.22590 - 572,727 - Button.right
256.30187 - 572,727 - Button.right
256.43289 - 572,729 - Button.right
257.11178 - 706,755 - Button.right
257.20888 - 733,851 - Button.right
257.29155 - 748,850 - Button.right
257.40649 - 757,853 - Button.right
257.91066 - 883,706 - Button.right
257.99238 - 896,715 - Button.right
258.10599 - 901,746 - Button.right
258.21387 - 906,752 - Button.right
258.34405 - 956,807 - Button.right
258.46045 - 964,811 - Button.right
258.83863 - 975,801 - Button.right
258.94891 - 980,806 - Button.right
259.06298 - 868,820 - Button.right
259.18100 - 729,819 - Button.right
259.27021 - 731,816 - Button.right
259.37758 - 731,815 - Button.right
259.92455 - 704,805 - Button.right
260.03804 - 677,802 - Button.right
261.07088 - 511,637 - Button.right
261.15710 - 509,621 - Button.right
261.25419 - 483,641 - Button.right
261.37102 - 497,652 - Button.right
261.95201 - 881,569 - Button.right
262.04858 - 866,568 - Button.right
262.14597 - 827,602 - Button.right
262.25126 - 827,610 - Button.right
263.18345 - 873,465 - Button.right
263.25791 - 889,500 - Button.right
263.35994 - 942,668 - Button.right
