z,y,x,button
0.415,-492,711,right
0.517,-498,656,right
0.628,-374,675,right
0.763,-352,660,right
0.852,-269,644,right
1.000,-307,649,right
1.243,-335,641,right
1.348,-390,623,right
2.749,-596,604,right
2.854,-522,635,right
3.373,-408,634,right
3.479,-414,643,right
3.578,-418,641,right
3.680,-418,641,right
4.378,-455,599,right
4.464,-438,625,right
4.566,-439,629,right
4.651,-449,628,right
6.345,-223,1140,right
6.440,-258,1176,right
6.555,-206,1155,right
6.689,-205,1142,right
7.058,-249,651,right
7.160,-252,646,right
7.267,-252,663,right
7.380,-252,663,right
7.648,-341,545,right
7.760,-398,499,right
7.834,-403,498,right
7.928,-448,475,right
8.447,-441,675,right
8.552,-328,846,right
8.653,-292,815,right
8.747,-302,825,right
8.848,-303,824,right
8.951,-314,819,right
9.385,-465,1040,right
9.473,-465,1044,right
9.572,-462,1055,right
9.669,-484,1050,right
10.914,-377,1310,right
11.021,-374,1325,right
12.230,-450,1262,right
12.329,-469,1263,right
12.687,-413,1254,right
12.790,-434,1196,right
12.907,-415,1106,right
12.999,-402,1054,right
13.110,-415,952,right
13.227,-497,887,right
14.407,-185,1223,right
14.520,-235,1216,right
14.647,-218,1223,right
14.736,-215,1223,right
15.245,-316,752,right
15.346,-330,741,right
15.678,-521,850,right
15.770,-521,848,right
17.522,-273,853,right
17.627,-277,795,right
17.713,-255,733,right
17.807,-274,689,right
17.919,-284,688,right
18.018,-299,664,right
19.421,-123,908,right
19.536,-178,912,right
19.846,-190,800,right
19.954,-212,785,right
20.231,-541,415,right
20.303,-541,415,right
20.401,-537,449,right
20.502,-549,443,right
21.297,-591,622,right
21.412,-605,628,right
21.630,-597,660,right
21.729,-600,668,right
23.095,-457,757,right
23.186,-456,760,right
23.275,-445,739,right
23.388,-450,647,right
23.489,-437,609,right
23.613,-470,592,right
23.877,-406,730,right
23.964,-405,744,right
24.075,-382,757,right
24.205,-382,757,right
26.559,-449,1121,right
26.648,-375,1192,right
26.752,-345,1171,right
26.859,-342,1166,right
27.348,-350,1185,right
27.445,-358,1186,right
27.546,-371,1185,right
27.629,-371,1184,right
27.772,-251,1036,right
27.873,-271,1002,right
27.977,-260,1000,right
28.075,-259,1001,right
28.182,-258,919,right
28.294,-290,800,right
28.406,-257,797,right
28.512,-259,794,right
28.920,-269,772,right
28.997,-277,773,right
29.109,-300,764,right
29.202,-315,736,right
29.800,-636,688,right
29.911,-633,697,right
29.994,-642,719,right
30.091,-703,739,right
31.080,-454,836,right
31.165,-417,849,right
31.270,-288,916,right
31.386,-286,918,right
31.886,-330,1080,right
31.987,-329,1099,right
32.353,-328,1085,right
32.449,-327,1018,right
32.564,-255,1050,right
32.654,-248,1050,right
32.778,-197,1039,right
32.869,-188,1060,right
32.967,-179,1144,right
33.091,-225,1143,right
33.228,-256,1062,right
33.341,-268,890,right
33.417,-299,797,right
33.544,-393,780,right
33.628,-427,796,right
33.741,-509,800,right
34.398,-201,1079,right
34.492,-193,1085,right
34.588,-78,1169,right
34.700,-59,1183,right
35.601,-80,1276,right
35.716,-127,1265,right
35.814,-149,1264,right
35.905,-254,1223,right
36.025,-238,1212,right
36.129,-241,1217,right
36.247,-226,1215,right
36.345,-264,1152,right
36.452,-266,1135,right
36.546,-269,1122,right
36.643,-260,1104,right
36.757,-269,1076,right
36.971,-355,1041,right
37.008,-411,1021,right
37.594,-153,1244,right
37.723,-233,1173,right
37.803,-170,1247,right
37.903,-198,1214,right
38.011,-203,1222,right
38.067,-335,1116,right
39.059,-1099,889,left
39.133,-1099,889,left
39.338,-404,1094,right
39.448,-420,1066,right
39.553,-404,977,right
39.663,-324,809,right
39.754,-319,837,right
39.866,-318,837,right
39.944,-295,839,right
40.063,-302,811,right
40.146,-333,800,right
40.283,-593,759,right
40.591,-867,555,right
40.750,-884,539,right
41.500,-523,982,right
41.602,-543,925,right
41.680,-392,910,right
41.783,-395,894,right
42.628,-121,1169,right
42.728,-121,1172,right
42.852,-147,1209,right
42.962,-209,1228,right
43.044,-218,1285,right
43.148,-291,1285,right
43.633,-332,1373,right
43.772,-466,1298,right
43.930,-234,1418,right
44.020,-255,1436,right
44.135,-272,1450,right
44.234,-287,1413,right
44.346,-155,1396,right
44.451,-136,1375,right
44.547,-122,1249,right
44.672,-199,1125,right
44.770,-214,1125,right
44.882,-212,1125,right
44.980,-157,1144,right
45.095,-179,1136,right
45.317,-467,1115,right
45.412,-509,1120,right
45.521,-553,1116,right
45.581,-569,1108,right
46.473,-270,1417,right
46.590,-266,1453,right
46.666,-184,1435,right
46.785,-175,1439,right
47.532,-110,1554,right
47.649,-123,1537,right
47.846,-0,1447,right
47.969,-100,1313,right
48.069,-134,1273,right
48.183,-215,1269,right
48.279,-212,1278,right
48.398,-222,1262,right
48.819,-467,1058,right
48.891,-481,1071,right
48.996,-458,1074,right
49.096,-455,1074,right
49.673,-459,1165,right
49.799,-528,1155,right
49.900,-574,1116,right
50.006,-571,1109,right
51.294,-536,1187,right
51.410,-446,1249,right
51.507,-324,1377,right
51.626,-311,1388,right
52.234,-247,1449,right
52.336,-247,1447,right
52.475,-227,1366,right
52.567,-223,1319,right
52.666,-255,1278,right
52.778,-255,1277,right
53.066,-209,1110,right
53.168,-210,1088,right
53.286,-188,1006,right
53.394,-187,1008,right
53.744,-320,1314,right
53.834,-330,1319,right
53.930,-300,1375,right
54.052,-323,1364,right
54.489,-539,1188,right
54.572,-523,1196,right
55.422,-366,1477,right
55.528,-341,1479,right
55.608,-271,1521,right
55.718,-250,1527,right
56.350,-72,1702,right
56.450,-69,1702,right
56.825,-196,1474,right
56.926,-192,1475,right
57.018,-168,1513,right
57.129,-174,1511,right
57.533,-222,1592,right
57.646,-213,1600,right
