time,actions
0,83
1,66
2,69
3,88
4,50
5,61
6,77
7,69
8,33
9,98
10,57
11,74
12,99
13,95
14,62
15,96
16,89
17,54
18,35
19,105
20,56
21,112
22,94
23,74
24,25
25,6
26,82
27,86
28,89
29,90
30,140
31,98
32,47
33,71
34,29
35,87
36,13
37,26
38,79
39,98
40,56
41,55
42,109
43,55
44,49
45,91
46,102
47,101
48,61
49,54
50,65
51,62
52,96
53,72
54,40
55,6
56,105
57,65
58,76
59,76
60,91
61,75
62,34
63,4
64,80
65,36
66,84
67,87
68,27
69,4
70,53
71,36
72,56
73,97
74,92
75,61
76,3
77,3
78,76
79,100
81,29
82,4
83,13
