0.74924 - 1560,828 - Button.right
0.86938 - 1633,898 - Button.right
0.98338 - 1574,770 - Button.right
1.08509 - 1568,755 - Button.right
1.26964 - 1525,644 - Button.right
1.33411 - 1522,642 - Button.right
1.45125 - 1585,729 - Button.right
1.56728 - 1560,758 - Button.right
1.66634 - 1567,762 - Button.right
1.76726 - 1515,766 - Button.right
2.09398 - 1134,595 - Button.right
2.19329 - 1167,589 - Button.right
2.28089 - 1089,550 - Button.right
2.38229 - 871,624 - Button.right
2.48543 - 854,560 - Button.right
2.58191 - 686,497 - Button.right
2.66992 - 450,379 - Button.right
2.76842 - 380,459 - Button.right
2.85141 - 504,323 - Button.right
2.96848 - 449,502 - Button.right
3.06621 - 512,603 - Button.right
3.17445 - 635,634 - Button.right
3.31333 - 1474,272 - Button.right
3.42464 - 1535,280 - Button.right
3.52623 - 1660,294 - Button.right
3.64551 - 1552,458 - Button.right
3.91717 - 1517,190 - Button.right
4.02844 - 1506,204 - Button.right
4.14345 - 1510,208 - Button.right
4.27319 - 1517,228 - Button.right
4.65735 - 1044,387 - Button.right
4.77255 - 1036,358 - Button.right
4.87787 - 1041,302 - Button.right
4.99235 - 1012,300 - Button.right
5.11311 - 1024,281 - Button.right
5.22047 - 1032,250 - Button.right
5.30564 - 1050,231 - Button.right
5.44147 - 1042,254 - Button.right
5.56140 - 1038,260 - Button.right
5.67367 - 996,268 - Button.right
5.79093 - 982,276 - Button.right
5.90956 - 947,281 - Button.right
6.01046 - 863,310 - Button.right
6.13278 - 807,341 - Button.right
6.24110 - 810,390 - Button.right
6.35842 - 734,477 - Button.right
6.45601 - 702,543 - Button.right
6.57545 - 632,655 - Button.right
6.66458 - 617,707 - Button.right
6.78237 - 601,759 - Button.right
6.85545 - 620,756 - Button.right
6.97555 - 643,746 - Button.right
7.10646 - 1195,363 - Button.right
7.20547 - 1277,346 - Button.right
7.30922 - 1365,345 - Button.right
7.42858 - 1406,378 - Button.right
7.52136 - 1738,527 - Button.right
7.64685 - 1683,723 - Button.right
7.74561 - 1681,778 - Button.right
7.87633 - 1683,795 - Button.right
7.98938 - 1757,815 - Button.right
8.12718 - 1717,884 - Button.right
8.23976 - 1713,940 - Button.right
8.36340 - 1639,990 - Button.right
8.45033 - 1405,963 - Button.right
8.58056 - 1157,1065 - Button.right
8.72729 - 1105,1018 - Button.right
8.83739 - 1065,957 - Button.right
8.89042 - 955,929 - Button.right
8.99022 - 791,967 - Button.right
9.10244 - 848,860 - Button.right
9.22991 - 726,847 - Button.right
9.33447 - 568,762 - Button.right
9.46562 - 541,756 - Button.right
9.56142 - 567,758 - Button.right
9.68363 - 651,789 - Button.right
10.29045 - 1262,445 - Button.right
10.40653 - 1241,447 - Button.right
10.53016 - 1242,446 - Button.right
10.63751 - 1215,444 - Button.right
11.29801 - 1283,203 - Button.right
11.43548 - 1284,207 - Button.right
11.51649 - 1304,209 - Button.right
11.63845 - 1299,227 - Button.right
11.73634 - 1299,229 - Button.right
11.86454 - 1220,309 - Button.right
12.00651 - 1071,345 - Button.right
12.12719 - 1071,343 - Button.right
12.21523 - 1052,331 - Button.right
12.31135 - 1052,330 - Button.right
12.55638 - 1259,314 - Button.right
12.65049 - 1265,337 - Button.right
12.75754 - 1239,358 - Button.right
12.86752 - 924,478 - Button.right
12.94259 - 874,514 - Button.right
13.08161 - 718,623 - Button.right
13.14752 - 689,677 - Button.right
13.28694 - 677,704 - Button.right
13.37351 - 709,710 - Button.right
13.51250 - 733,714 - Button.right
13.85544 - 915,613 - Button.right
13.96102 - 890,613 - Button.right
14.09252 - 901,522 - Button.right
14.20254 - 908,526 - Button.right
14.27951 - 921,536 - Button.right
14.41694 - 910,559 - Button.right
14.76127 - 857,599 - Button.right
14.89339 - 767,663 - Button.right
14.99349 - 759,674 - Button.right
15.10293 - 679,723 - Button.right
15.17958 - 674,723 - Button.right
15.31456 - 674,723 - Button.right
16.25603 - 864,1057 - Button.left
16.34506 - 864,1056 - Button.left
16.67658 - 865,1082 - Button.left
16.76226 - 865,1082 - Button.left
17.56413 - 836,679 - Button.right
17.68925 - 836,679 - Button.right
17.80997 - 836,679 - Button.right
17.91738 - 836,679 - Button.right
18.02033 - 836,679 - Button.right
18.14664 - 836,679 - Button.right
18.25164 - 836,679 - Button.right
18.38675 - 836,680 - Button.right
18.71426 - 866,696 - Button.right
18.80717 - 865,697 - Button.right
19.06412 - 871,716 - Button.right
19.17485 - 871,716 - Button.right
19.68667 - 1306,555 - Button.right
19.78221 - 1305,553 - Button.right
20.62186 - 1241,715 - Button.right
