z,y,x,button
2.677,-470,319,left
2.754,-470,319,left
3.464,-466,1251,right
3.568,-465,1251,right
5.088,-1104,1897,right
5.189,-1103,1897,right
5.623,-1088,1915,left
5.716,-1087,1915,left
12.010,-750,1007,right
12.108,-756,1018,right
12.194,-776,1027,right
12.283,-777,1027,right
12.754,-726,798,right
12.863,-721,842,right
12.961,-737,832,right
13.073,-737,823,right
13.771,-655,920,right
13.876,-644,954,right
13.993,-623,974,right
14.093,-544,1031,right
14.192,-453,1103,right
14.281,-450,1109,right
14.386,-451,1266,right
14.488,-470,1306,right
14.595,-521,1340,right
14.696,-527,1357,right
14.813,-560,1409,right
14.924,-560,1415,right
15.036,-397,1211,right
15.156,-391,1164,right
15.258,-410,1119,right
15.370,-408,1094,right
15.455,-410,1090,right
15.553,-410,1080,right
15.657,-423,1035,right
15.782,-469,831,right
16.150,-536,1087,right
16.254,-534,1147,right
16.351,-660,1272,right
16.459,-702,1309,right
16.923,-581,1432,right
17.034,-564,1440,right
17.124,-567,1444,right
17.232,-574,1461,right
17.345,-579,1463,right
17.456,-572,1433,right
17.565,-491,1264,right
17.676,-442,1159,right
17.775,-442,1147,right
17.880,-441,1147,right
18.332,-539,1156,right
18.433,-552,1163,right
18.529,-635,1260,right
18.637,-637,1276,right
18.764,-646,1360,right
18.859,-621,1369,right
18.985,-500,1388,right
19.103,-489,1135,right
19.192,-507,989,right
19.321,-529,940,right
19.423,-583,845,right
19.549,-619,768,right
19.892,-519,925,right
20.009,-518,925,right
20.352,-525,911,right
20.457,-526,911,right
76.663,-248,1582,right
76.763,-257,1582,right
76.848,-296,1590,right
76.956,-297,1604,right
77.035,-324,1646,right
77.169,-342,1655,right
77.551,-401,1544,right
77.624,-441,1488,right
77.966,-435,1177,right
78.083,-431,1155,right
78.181,-428,1153,right
78.323,-476,1165,right
78.395,-479,1164,right
78.518,-480,1165,right
78.649,-479,1172,right
78.778,-481,1156,right
79.006,-470,1153,right
79.094,-470,1153,right
79.193,-464,1164,right
79.310,-465,1167,right
79.404,-465,1167,right
79.511,-466,1168,right
79.609,-467,1168,right
79.732,-470,1141,right
79.814,-470,1141,right
79.938,-482,1128,right
80.026,-484,1126,right
80.134,-485,1128,right
80.236,-487,1125,right
80.354,-485,1124,right
80.444,-485,1124,right
80.579,-485,1124,right
80.729,-485,1124,right
80.848,-485,1124,right
80.993,-486,1124,right
81.074,-486,1123,right
81.188,-483,1135,right
81.292,-483,1138,right
81.396,-484,1138,right
81.504,-485,1130,right
81.614,-485,1128,right
81.723,-485,1123,right
81.820,-481,1113,right
81.941,-483,1112,right
82.028,-489,1107,right
82.134,-493,1101,right
82.234,-496,1098,right
82.345,-504,1078,right
82.929,-488,1176,right
83.051,-513,1181,right
83.150,-515,1177,right
83.252,-516,1174,right
83.363,-522,1172,right
83.469,-518,1163,right
83.577,-518,1161,right
83.682,-514,1159,right
83.789,-493,1160,right
83.893,-495,1144,right
84.005,-495,1141,right
84.107,-513,1092,right
84.221,-514,1091,right
84.349,-522,1052,right
84.474,-526,1050,right
84.607,-553,959,right
84.693,-570,907,right
84.813,-584,893,right
84.915,-595,875,right
85.038,-595,874,right
85.121,-604,860,right
85.242,-617,820,right
85.337,-628,798,right
85.448,-639,757,right
85.542,-640,755,right
85.659,-639,754,right
85.750,-638,754,right
85.862,-638,756,right
86.081,-430,1146,right
86.199,-432,1152,right
86.320,-401,1204,right
86.410,-392,1205,right
86.526,-422,1270,right
86.655,-496,1322,right
86.729,-554,1361,right
86.854,-653,1322,right
86.939,-757,1273,right
87.063,-841,1175,right
87.140,-867,1142,right
87.277,-963,950,right
87.352,-953,917,right
87.472,-931,861,right
87.556,-759,757,right
87.692,-722,719,right
87.785,-701,718,right
87.891,-682,761,right
88.012,-529,1042,right
88.119,-513,1061,right
88.213,-441,1150,right
88.339,-440,1149,right
88.681,-337,1132,right
88.836,-350,988,right
88.958,-366,964,right
89.067,-379,944,right
89.188,-394,932,right
89.306,-562,787,right
89.435,-664,752,right
89.553,-735,761,right
89.650,-739,783,right
89.759,-736,782,right
90.017,-515,1091,right
90.130,-542,1071,right
90.246,-696,1172,right
90.362,-747,1187,right
90.641,-423,700,right
90.761,-383,712,right
90.873,-306,756,right
90.981,-324,807,right
91.086,-331,831,right
91.232,-516,810,right
91.313,-516,807,right
91.423,-529,804,right
91.508,-529,798,right
91.643,-528,798,right
91.837,-432,1023,right
91.952,-447,1104,right
92.045,-551,1170,right
92.168,-894,1094,right
95.359,-600,657,left
95.434,-622,648,left
95.705,-754,448,left
95.802,-753,448,left
96.182,-888,415,left
96.288,-886,417,left
96.830,-518,983,right
96.933,-429,1207,right
97.040,-437,1351,right
97.137,-410,1377,right
97.296,-318,1278,left
97.379,-312,1279,left
97.586,-310,1294,right
97.696,-447,1056,right
97.789,-526,972,right
97.889,-658,866,right
97.989,-666,770,right
98.108,-745,674,right
98.189,-729,603,right
98.315,-780,516,right
98.396,-790,514,right
98.525,-863,441,right
98.627,-865,411,right
98.746,-889,286,right
98.832,-887,268,right
98.978,-898,285,right
99.159,-744,844,right
99.260,-775,736,right
99.401,-861,444,right
99.474,-851,506,right
99.600,-535,1114,right
99.704,-544,1155,right
99.809,-461,1472,right
99.928,-490,1411,right
100.093,-256,1591,right
100.208,-284,1515,right
100.472,-529,1420,right
100.584,-570,1409,right
100.695,-466,1416,right
100.795,-415,1419,right
100.884,-397,1022,right
101.001,-442,898,right
101.095,-445,914,right
101.214,-583,766,right
101.302,-605,755,right
101.438,-722,647,right
101.530,-722,638,right
101.631,-790,571,right
101.723,-712,543,right
101.835,-714,556,right
101.952,-470,1188,right
102.051,-386,1314,right
102.149,-317,1489,right
102.275,-339,1553,right
103.760,-330,1339,right
103.840,-330,1342,right
103.959,-351,1342,right
104.068,-204,1443,right
104.563,-330,1536,right
104.654,-365,1537,right
104.766,-485,1562,right
104.872,-670,1541,right
104.977,-733,1563,right
105.086,-744,1587,right
105.534,-506,1497,right
105.630,-500,1488,right
106.111,-444,1458,right
106.182,-441,1434,right
106.301,-440,1414,right
106.381,-440,1415,right
106.498,-481,1439,right
106.676,-810,1041,right
106.760,-783,1000,right
106.855,-778,923,right
106.980,-440,1697,right
107.098,-566,1555,right
107.573,-377,1834,right
107.698,-225,1945,right
108.251,-163,1582,right
108.375,-201,1579,right
108.464,-233,1577,right
108.595,-457,1382,right
108.677,-514,1335,right
108.791,-572,1261,right
108.867,-576,1260,right
108.971,-584,1254,right
109.068,-600,1242,right
109.185,-608,1223,right
109.445,-397,1713,right
109.547,-416,1714,right
109.649,-411,1791,right
109.760,-431,1815,right
109.888,-327,1883,right
110.010,-543,1801,right
110.160,-388,1827,right
110.290,-242,1731,right
110.368,-179,1637,right
110.501,-363,1364,right
110.614,-338,1366,right
110.725,-361,1346,right
110.818,-410,1294,right
110.933,-543,1170,right
111.012,-597,1130,right
111.144,-775,923,right
111.236,-786,884,right
111.338,-781,872,right
111.451,-710,885,right
111.557,-704,903,right
111.713,-488,1755,right
111.829,-425,1756,right
111.950,-147,1764,right
112.061,-22,2001,right
112.575,-389,1449,right
112.705,-532,1167,right
112.780,-531,1161,right
112.903,-596,1055,right
112.989,-600,1012,right
113.092,-588,1009,right
113.158,-568,984,right
113.288,-575,994,right
113.427,-307,1826,right
113.556,-424,1862,right
113.653,-540,1897,right
113.770,-542,1877,right
114.629,-547,1231,right
114.731,-526,1190,right
114.824,-402,1102,right
114.943,-406,1127,right
115.053,-443,1208,right
115.145,-459,1245,right
115.239,-430,1261,right
115.351,-431,1263,right
115.667,-340,1365,right
115.752,-339,1345,right
115.874,-421,1237,right
115.987,-537,1138,right
116.819,-1096,938,left
116.890,-1096,938,left
117.090,-615,1047,right
117.213,-650,936,right
117.497,-577,1152,right
117.619,-844,946,right
117.715,-826,916,right
117.828,-870,820,right
117.908,-870,815,right
118.034,-878,819,right
118.747,-436,1338,right
118.882,-526,1352,right
118.965,-562,1348,right
119.064,-668,1266,right
119.159,-639,1073,right
119.282,-683,895,right
119.373,-693,945,right
119.495,-712,953,right
119.607,-656,930,right
119.728,-654,914,right
119.801,-609,870,right
119.919,-612,826,right
120.009,-581,806,right
120.152,-582,809,right
120.272,-578,817,right
120.380,-581,824,right
120.723,-557,922,right
120.822,-600,929,right
120.932,-646,955,right
121.037,-638,936,right
121.133,-631,921,right
121.244,-631,896,right
121.508,-611,960,right
121.633,-611,966,right
121.726,-614,960,right
121.846,-615,957,right
122.216,-1215,184,right
122.300,-1045,425,right
122.419,-767,722,right
122.553,-776,602,right
122.643,-793,568,right
122.756,-821,578,right
124.121,-956,468,right
124.248,-1096,223,right
124.867,-749,319,right
124.965,-739,279,right
125.078,-507,470,right
125.182,-503,705,right
125.271,-483,977,right
125.366,-401,1127,right
125.438,-273,1366,right
125.558,-293,1388,right
126.509,-148,1682,right
126.587,-147,1683,right
126.696,-143,1712,right
126.768,-148,1651,right
127.032,-110,1585,right
127.161,-186,1450,right
127.261,-329,1097,right
127.362,-394,1069,right
127.447,-521,965,right
127.565,-731,869,right
127.636,-725,790,right
127.763,-800,789,right
127.830,-808,768,right
127.966,-868,632,right
128.036,-855,632,right
128.156,-856,651,right
128.300,-647,907,right
128.469,-757,739,right
128.566,-802,574,right
128.681,-813,541,right
128.757,-803,585,right
128.868,-823,610,right
129.051,-464,1405,right
129.165,-368,1517,right
129.241,-224,1580,right
129.347,-172,1654,right
129.482,-0,1934,right
129.578,-2,1977,right
130.812,-335,1303,right
130.921,-325,1313,right
131.031,-361,1314,right
131.131,-515,1126,right
131.240,-651,986,right
131.366,-736,817,right
131.438,-780,652,right
131.560,-989,678,right
131.658,-1031,658,right
131.796,-1038,647,right
131.873,-1034,629,right
131.977,-1087,627,right
132.398,-465,1542,right
132.487,-538,1546,right
132.593,-555,1521,right
132.690,-554,1520,right
133.419,-397,1632,right
133.543,-334,1624,right
133.675,-224,1571,right
133.782,-229,1554,right
133.901,-238,1551,right
134.009,-240,1551,right
134.145,-242,1549,right
134.250,-241,1549,right
134.382,-200,1562,right
134.467,-200,1561,right
134.594,-120,1678,right
134.722,-153,1633,right
135.052,-590,1509,right
135.141,-591,1523,right
135.231,-587,1651,right
135.356,-564,1732,right
136.120,-863,1366,right
136.217,-875,1378,right
136.329,-857,1419,right
136.458,-856,1419,right
136.602,-864,1445,right
136.718,-866,1447,right
136.834,-909,1527,right
136.942,-917,1518,right
137.045,-916,1531,right
137.150,-916,1534,right
137.244,-928,1543,right
137.358,-933,1552,right
138.056,-739,1380,right
138.168,-536,1073,right
138.258,-458,1150,right
138.363,-460,1162,right
138.487,-361,1227,right
138.592,-359,1227,right
138.727,-112,1375,right
138.829,-113,1386,right
139.013,-310,1228,right
139.127,-410,1097,right
139.238,-379,1092,right
139.339,-352,1106,right
139.453,-351,1064,right
139.570,-475,905,right
139.664,-519,787,right
139.774,-615,525,right
139.846,-556,516,right
139.958,-550,525,right
140.092,-421,942,right
140.200,-367,995,right
140.299,-240,1152,right
140.399,-223,1130,right
140.558,-27,1132,right
140.684,-68,1169,right
141.255,-409,801,right
141.392,-472,764,right
141.484,-476,715,right
141.589,-559,653,right
141.705,-565,649,right
141.834,-565,653,right
141.900,-572,653,right
142.033,-619,646,right
142.107,-616,649,right
142.230,-638,684,right
142.332,-647,701,right
142.472,-721,728,right
142.571,-740,811,right
142.689,-777,810,right
142.767,-821,738,right
142.883,-823,743,right
142.964,-776,717,right
143.080,-774,731,right
143.206,-560,1217,right
143.319,-519,1339,right
143.393,-478,1439,right
143.521,-487,1467,right
143.618,-507,1503,right
143.753,-616,1478,right
143.856,-661,1073,right
143.965,-735,787,right
144.047,-636,723,right
144.177,-748,689,right
144.267,-780,665,right
144.385,-781,663,right
144.478,-765,682,right
144.602,-765,701,right
144.696,-758,772,right
144.813,-758,779,right
144.889,-758,778,right
145.024,-762,789,right
145.091,-763,789,right
145.216,-768,799,right
145.456,-542,1254,right
145.580,-518,1288,right
145.707,-373,1336,right
145.838,-516,849,right
145.956,-474,796,right
146.085,-488,753,right
146.162,-465,785,right
146.269,-485,779,right
146.355,-484,776,right
146.470,-491,771,right
146.836,-226,1205,right
146.945,-216,1251,right
147.347,-332,1039,right
147.457,-350,950,right
147.554,-438,892,right
147.662,-673,848,right
148.425,-1094,877,left
148.481,-1093,876,left
148.656,-815,781,right
148.770,-827,683,right
148.853,-820,646,right
148.969,-825,517,right
149.048,-791,495,right
149.163,-798,497,right
149.248,-798,484,right
149.346,-800,489,right
149.445,-780,504,right
149.561,-779,506,right
149.644,-780,506,right
149.783,-781,508,right
149.878,-773,511,right
149.982,-769,509,right
150.061,-777,481,right
150.185,-778,475,right
150.274,-774,474,right
