1.34892 - 856,1107 - Button.left
1.45200 - 856,1106 - Button.left
8.29647 - 1415,679 - Button.right
8.38930 - 1378,667 - Button.right
8.48882 - 1353,667 - Button.right
8.56999 - 1333,700 - Button.right
8.68035 - 1296,674 - Button.right
8.79299 - 1122,600 - Button.right
8.88185 - 1104,577 - Button.right
8.98884 - 1084,641 - Button.right
9.63158 - 1315,1235 - Button.left
9.73244 - 1315,1235 - Button.left
11.56973 - 192,231 - Button.right
11.65860 - 192,230 - Button.right
12.64691 - 275,229 - Button.right
12.72482 - 275,229 - Button.right
12.83144 - 275,229 - Button.right
12.89228 - 275,229 - Button.right
13.55410 - 339,234 - Button.right
13.66110 - 339,233 - Button.right
14.64959 - 1214,368 - Button.right
14.71953 - 1225,352 - Button.right
14.82002 - 1408,314 - Button.right
14.91649 - 1450,307 - Button.right
14.98791 - 1584,285 - Button.right
15.11389 - 1637,272 - Button.right
15.53051 - 2034,245 - Button.right
15.61878 - 1998,349 - Button.right
15.71814 - 1887,358 - Button.right
15.81457 - 1852,369 - Button.right
16.48979 - 1501,595 - Button.right
16.58252 - 1508,583 - Button.right
16.67928 - 1534,575 - Button.right
16.79115 - 1533,575 - Button.right
17.43423 - 1615,506 - Button.right
17.52840 - 1614,506 - Button.right
18.01864 - 1638,512 - Button.right
18.11383 - 1628,521 - Button.right
18.25263 - 1620,519 - Button.right
18.35188 - 1619,519 - Button.right
19.21332 - 1728,577 - Button.right
19.31353 - 1734,570 - Button.right
19.41763 - 1720,590 - Button.right
19.52187 - 1704,615 - Button.right
20.06252 - 1786,829 - Button.right
20.17962 - 1773,798 - Button.right
20.27892 - 1799,813 - Button.right
20.39303 - 1820,820 - Button.right
20.67714 - 1925,747 - Button.right
20.78160 - 1925,747 - Button.right
20.89262 - 1952,659 - Button.right
21.01118 - 1966,557 - Button.right
21.46364 - 1685,482 - Button.right
21.56915 - 1684,488 - Button.right
21.66916 - 1693,495 - Button.right
21.78020 - 1691,502 - Button.right
22.86752 - 1498,703 - Button.right
22.96070 - 1498,702 - Button.right
23.05432 - 1493,709 - Button.right
23.13461 - 1495,709 - Button.right
30.49976 - 1495,337 - Button.right
30.61063 - 1495,336 - Button.right
31.28666 - 1476,368 - Button.right
31.36384 - 1476,368 - Button.right
31.53932 - 1550,375 - Button.right
31.64416 - 1550,374 - Button.right
32.12230 - 1571,379 - Button.right
32.23781 - 1572,380 - Button.right
33.41556 - 1101,512 - Button.right
33.52261 - 1102,511 - Button.right
33.72985 - 1081,596 - Button.right
33.81898 - 1077,603 - Button.right
34.16209 - 1248,514 - Button.right
34.25822 - 1250,514 - Button.right
35.05273 - 1030,548 - Button.right
35.14039 - 1006,557 - Button.right
37.13948 - 1948,1232 - Button.right
37.24305 - 1948,1232 - Button.right
41.37287 - 1323,390 - Button.right
41.48137 - 1323,390 - Button.right
41.57701 - 1368,406 - Button.right
41.68190 - 1378,413 - Button.right
41.78329 - 1405,450 - Button.right
41.88161 - 1424,459 - Button.right
42.48834 - 1418,669 - Button.right
42.56173 - 1418,669 - Button.right
42.66164 - 1408,705 - Button.right
42.76706 - 1410,719 - Button.right
42.86998 - 1411,783 - Button.right
42.98614 - 1406,849 - Button.right
43.11302 - 1439,848 - Button.right
43.17155 - 1681,634 - Button.right
44.26927 - 1317,1155 - Button.left
44.74505 - 1384,1158 - Button.left
45.33555 - 1131,824 - Button.right
45.40880 - 1110,810 - Button.right
45.51779 - 1060,829 - Button.right
45.61963 - 1015,830 - Button.right
45.71877 - 1067,673 - Button.right
45.83570 - 1061,672 - Button.right
46.10041 - 1251,605 - Button.right
46.23451 - 1277,558 - Button.right
46.33009 - 1308,515 - Button.right
46.43548 - 1312,533 - Button.right
46.53204 - 1170,625 - Button.right
46.68372 - 1126,740 - Button.right
46.74562 - 1127,762 - Button.right
46.88175 - 1118,771 - Button.right
46.97011 - 1114,728 - Button.right
47.08443 - 1046,748 - Button.right
47.18321 - 1011,762 - Button.right
47.28753 - 952,747 - Button.right
47.37126 - 804,689 - Button.right
47.48334 - 692,700 - Button.right
47.56516 - 599,710 - Button.right
47.70639 - 480,714 - Button.right
48.24185 - 514,648 - Button.right
48.33322 - 511,666 - Button.right
48.44614 - 520,689 - Button.right
48.54628 - 521,687 - Button.right
48.82277 - 519,633 - Button.right
48.95868 - 520,611 - Button.right
49.10850 - 547,642 - Button.right
49.21572 - 559,668 - Button.right
49.35113 - 655,646 - Button.right
49.45997 - 665,643 - Button.right
49.57720 - 665,644 - Button.right
49.68206 - 669,647 - Button.right
50.37849 - 704,553 - Button.right
50.48869 - 710,534 - Button.right
50.59772 - 730,529 - Button.right
50.70191 - 734,574 - Button.right
50.81522 - 868,701 - Button.right
50.91872 - 884,720 - Button.right
51.02898 - 912,726 - Button.right
51.13283 - 921,732 - Button.right
51.22406 - 1006,756 - Button.right
51.33890 - 1021,766 - Button.right
51.46701 - 1026,721 - Button.right
51.55882 - 1026,719 - Button.right
51.67089 - 869,624 - Button.right
51.78932 - 838,629 - Button.right
51.90373 - 955,689 - Button.right
52.03404 - 990,723 - Button.right
52.12057 - 776,715 - Button.right
52.25256 - 701,726 - Button.right
52.37123 - 783,707 - Button.right
52.48837 - 1061,644 - Button.right
52.57525 - 1255,687 - Button.right
52.69014 - 1258,698 - Button.right
52.83275 - 1239,678 - Button.right
52.94259 - 1234,680 - Button.right
53.32253 - 1360,663 - Button.right
53.37861 - 1279,688 - Button.right
53.50742 - 1051,649 - Button.right
53.60236 - 1080,612 - Button.right
53.69252 - 1260,566 - Button.right
53.82126 - 1277,581 - Button.right
53.95488 - 1252,587 - Button.right
54.05712 - 1207,552 - Button.right
54.15181 - 609,503 - Button.right
54.27670 - 769,435 - Button.right
54.37626 - 783,441 - Button.right
54.49056 - 845,397 - Button.right
54.56553 - 907,298 - Button.right
54.69014 - 870,301 - Button.right
54.78354 - 857,153 - Button.right
54.90703 - 880,108 - Button.right
55.34863 - 1099,548 - Button.right
55.43828 - 1082,554 - Button.right
55.54328 - 1071,546 - Button.right
55.64503 - 1070,546 - Button.right
55.75474 - 1069,529 - Button.right
