1.78600-964,1061-513
42.03600-1588,90-513
84.36300-952,1071-513
108.02800-886,924-513
108.87400-1202,1035-513
109.48900-1218,1053-513
111.04100-399,227-516
111.73400-349,224-516
111.90400-349,224-516
112.11000-348,225-516
112.30900-348,225-516
112.83100-454,229-516
114.04100-1891,1003-516
114.60800-1887,998-516
115.04200-1887,996-516
115.27300-1887,996-516
115.46900-1887,996-516
115.66800-1887,996-516
115.88100-1887,996-516
116.10300-1887,996-516
116.31400-1887,996-516
116.53200-1887,996-516
116.76400-1887,996-516
116.99200-1887,996-516
117.20700-1887,996-516
117.43600-1887,996-516
117.65300-1886,993-516
117.87000-1886,993-516
118.08800-1886,993-516
118.34500-1886,993-516
119.19800-1886,991-516
121.89100-1885,1001-513
125.85300-722,691-516
127.15100-852,726-516
127.39300-863,769-516
127.58700-863,773-516
138.58300-1297,655-516
138.79300-1297,655-516
139.03600-1297,657-516
139.31500-899,586-516
139.53400-878,597-516
139.75800-874,601-516
139.96200-871,619-516
140.15700-868,664-516
140.36800-878,697-516
140.55000-909,640-516
140.78000-907,552-516
141.23000-867,552-516
141.40800-865,552-516
143.72000-1235,565-516
144.01400-1277,617-516
144.22900-1271,677-516
145.04300-1253,761-516
145.26600-1261,771-516
146.11900-1247,610-516
146.36500-1245,632-516
146.56000-1245,644-516
147.36600-1508,581-516
147.55000-1705,510-516
148.71800-1154,637-516
148.92500-1131,684-516
149.16100-1126,693-516
150.09500-1157,490-516
150.80800-1007,197-516
152.12700-1145,162-516
152.36000-1244,221-516
152.55000-1294,298-516
152.81200-1279,337-516
153.01600-931,318-516
153.21400-897,325-516
179.78900-1164,379-516
179.96100-1199,408-516
180.15300-1218,466-516
180.37600-1217,522-516
180.59300-1230,540-516
181.29500-1295,353-516
181.52600-1328,411-516
181.73000-1337,499-516
181.93000-1338,543-516
182.80500-1387,594-516
184.03000-1174,358-516
184.23300-1173,365-516
185.54200-1131,425-516
211.31100-1483,533-516
211.50800-1475,505-516
211.69600-1470,502-516
211.91100-1465,500-516
212.15600-1463,500-516
213.65400-1407,305-516
213.86100-1369,324-516
214.53600-1292,292-516
214.73600-1283,287-516
214.97500-1293,265-516
215.17500-1298,203-516
215.43400-1295,196-516
215.68900-1287,185-516
215.88800-1323,167-516
216.62400-1307,190-516
216.83900-1362,176-516
217.04000-1257,139-516
217.24500-1216,93-516
217.46200-1170,83-516
218.00900-1122,135-516
218.20500-1114,121-516
218.50600-1376,141-516
218.74200-1418,183-516
220.00300-1379,192-516
220.26400-1372,210-516
220.53300-1395,142-516
220.74900-1367,123-516
220.96000-1348,122-516
221.51300-1270,266-516
221.75900-1256,194-516
221.93400-1271,168-516
222.15900-1215,277-516
222.36800-1240,287-516
223.05500-1289,270-516
224.07000-1301,273-516
224.91800-1292,226-516
225.13100-1287,212-516
225.35800-1256,190-516
225.62200-1242,193-516
226.02500-1224,225-516
226.25700-1333,265-516
226.46500-1367,250-516
226.68200-1394,232-516
226.89400-1437,256-516
227.14000-1437,224-516
227.38500-1094,135-516
227.59900-1219,124-516
228.07700-1204,129-516
228.31300-1196,139-516
228.54900-1228,131-516
228.76700-1290,130-516
228.98800-1414,169-516
229.21200-1474,206-516
229.42400-1501,234-516
229.62000-1568,253-516
229.83900-1564,245-516
230.04300-1565,263-516
230.25900-1593,301-516
230.47200-1587,318-516
230.69200-1578,336-516
230.90800-1565,378-516
231.10900-1558,368-516
231.32500-1559,462-516
231.53900-1566,548-516
231.75400-1581,546-516
231.96900-1590,401-516
232.19000-1540,271-516
232.38500-1401,248-516
232.57700-1307,250-516
233.46800-1458,196-516
233.65700-1511,77-516
234.11100-1530,225-516
234.30900-1563,244-516
234.76800-1411,175-516
234.96500-1411,185-516
235.17800-1414,192-516
235.39900-1435,176-516
235.62900-1413,171-516
235.87000-1397,172-516
236.98300-1345,147-516
237.20800-1324,139-516
237.45200-1245,50-516
238.08600-1397,185-516
238.27300-1486,233-516
238.50800-1597,329-516
238.69000-1612,353-516
239.44300-1485,279-516
239.65700-1488,277-516
239.87500-1486,263-516
240.07500-1340,318-516
240.29000-1291,301-516
240.50700-1240,219-516
240.71200-1124,141-516
240.95500-1052,166-516
241.19400-1042,182-516
241.41500-1042,192-516
241.68300-1024,191-516
241.93200-988,190-516
242.16400-942,196-516
242.38500-893,224-516
243.00500-882,255-516
243.21900-904,262-516
245.03500-1148,243-516
245.22100-1136,228-516
245.43000-1121,220-516
245.63800-1122,218-516
245.87500-1148,215-516
246.09600-1178,239-516
246.31600-1234,321-516
246.54600-1300,402-516
246.74000-1293,405-516
247.00600-1278,419-516
247.26900-1291,421-516
248.23800-1414,282-516
248.44000-1451,288-516
248.70200-1511,325-516
248.84400-1579,272-516
249.09700-1598,244-516
249.31900-1545,204-516
249.57200-1474,191-516
249.79800-1550,212-516
250.03600-1596,229-516
250.27900-1601,247-516
250.48600-1591,326-516
251.18700-1315,299-516
251.40600-1303,337-516
251.65400-1255,291-516
251.88900-1284,228-516
252.10700-1242,226-516
252.36400-1159,245-516
252.63100-1125,250-516
252.87500-1080,270-516
253.07600-1115,241-516
253.30000-1291,290-516
253.52700-1267,262-516
253.76200-1237,234-516
253.99000-1175,267-516
254.22900-1167,188-516
254.43300-1215,126-516
254.90000-1092,227-516
255.11100-1025,244-516
255.31500-988,270-516
255.53800-950,328-516
255.76300-892,372-516
255.98700-883,387-516
256.23900-941,334-516
256.48500-936,311-516
256.67800-991,262-516
256.92300-909,383-516
257.12600-874,356-516
257.35800-874,322-516
257.58400-857,384-516
257.79800-876,462-516
258.06200-1080,340-516
258.46400-1171,544-513
258.94600-1040,443-516
259.11000-1054,402-516
259.30900-1062,307-516
259.51700-1021,285-516
259.99400-822,365-516
260.19500-865,386-516
260.47600-1032,436-516
260.80500-1057,403-516
261.83300-962,363-516
262.32000-977,363-516
263.01900-1012,173-516
263.18700-1012,173-516
263.42500-1021,146-516
263.66200-1014,146-516
263.90100-972,133-516
264.35200-1106,113-516
264.56400-1008,100-516
264.80900-965,78-516
265.31900-915,79-516
265.61000-955,53-516
265.80400-1070,41-516
266.02800-1074,57-516
266.53600-1077,215-516
266.73700-1087,240-516
266.95000-1052,239-516
267.18500-1063,230-516
267.42500-1066,226-516
267.86800-1206,297-516
268.10200-1216,321-516
268.30700-1130,284-516
268.51400-1050,338-516
269.39100-763,925-513
270.09500-1109,337-516
270.31300-1178,294-516
270.55600-1243,329-516
270.79100-1258,338-516
271.00700-1270,359-516
271.23200-1288,372-516
271.65600-1364,414-516
271.91300-1388,406-516
272.12500-1407,399-516
272.34900-1409,380-516
272.58700-1426,343-516
272.80700-1419,336-516
273.03500-1404,295-516
273.27100-1336,287-516
273.50100-1313,300-516
273.74600-1323,326-516
273.99100-1338,327-516
274.25500-1344,327-516
274.52900-1344,323-516
274.74100-1326,277-516
274.96800-1298,267-516
