game,time,actions
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,13
1,17,6
1,18,16
1,19,2
1,20,0
1,21,0
1,22,4
1,23,15
1,24,14
1,25,24
1,26,1
1,27,4
1,28,13
1,29,8
1,30,2
1,31,7
1,32,26
1,33,45
1,34,32
1,35,20
1,36,18
1,37,22
1,38,18
1,39,17
1,40,10
1,41,10
1,42,17
1,43,16
1,44,46
1,45,49
1,46,32
1,47,3
1,48,13
1,49,7
1,50,26
1,51,10
1,52,17
1,53,2
1,54,27
1,55,0
1,56,20
1,57,30
1,58,17
1,59,25
1,60,56
1,61,24
1,62,11
1,63,3
1,64,14
1,65,17
1,66,16
1,67,32
1,68,48
1,69,4
1,70,52
1,71,46
1,72,22
1,73,9
1,74,18
1,75,34
1,76,35
1,77,85
1,78,8
1,79,27
1,80,29
1,81,20
1,82,7
1,83,10
1,84,12
1,85,29
1,86,15
1,87,14
1,88,18
1,89,75
1,90,54
1,91,31
1,92,32
1,93,24
1,94,52
1,95,6
1,96,6
1,97,10
1,98,49
1,99,34
1,100,55
1,101,1
1,102,10
1,103,8
1,104,2
1,105,15
1,106,23
1,107,15
1,108,5
1,109,30
1,110,5
1,111,20
1,112,19
1,113,15
1,114,23
1,115,10
1,116,13
1,117,17
1,118,5
1,119,15
1,120,4
1,121,22
1,122,14
1,123,12
1,124,37
1,125,41
1,126,20
1,127,45
1,128,32
1,129,47
1,130,72
1,131,15
1,132,2
1,133,16
1,134,53
1,135,69
1,136,68
1,137,91
1,138,43
1,139,40
1,140,48
1,141,2
1,142,0
1,143,3
1,144,10
1,145,31
1,146,32
1,147,8
1,148,64
1,149,66
1,150,0
1,151,14
1,152,3
1,153,6
1,154,12
1,155,28
1,156,10
1,157,19
1,158,36
1,159,97
1,160,45
1,161,8
1,162,21
1,163,23
1,164,4
1,165,8
1,166,8
1,167,24
1,168,56
1,169,49
1,170,24
1,171,42
1,172,50
1,173,38
1,174,32
1,175,101
1,176,30
1,177,2
1,178,9
1,179,5
1,180,15
1,181,2
1,182,6
1,183,4
1,184,20
1,185,34
1,186,51
1,187,10
1,188,1
1,189,7
1,190,8
1,191,44
1,192,29
1,193,40
1,194,39
1,195,11
1,196,24
1,197,48
1,198,70
1,199,24
1,200,12
1,201,2
1,202,22
1,203,13
1,204,13
1,205,10
1,206,9
1,207,37
1,208,37
1,209,15
1,210,48
1,211,22
1,212,66
1,213,52
1,214,36
1,215,42
1,216,67
1,217,11
1,218,58
1,219,4
1,220,0
1,221,0
1,222,0
1,223,0
1,224,0
1,225,0
1,226,0
1,227,0
1,228,0
1,229,0
1,230,0
1,231,0
1,232,0
1,233,0
1,234,0
1,235,0
1,236,0
1,237,0
1,238,0
1,239,0
1,240,0
1,241,0
1,242,0
1,243,0
