0.52644 - 1510,131 - Button.right
0.68737 - 1505,156 - Button.right
0.77223 - 1499,162 - Button.right
0.89116 - 1100,496 - Button.right
0.96306 - 997,689 - Button.right
1.09221 - 697,792 - Button.right
1.14344 - 637,801 - Button.right
1.28254 - 411,897 - Button.right
1.37015 - 379,911 - Button.right
1.49356 - 379,910 - Button.right
1.59999 - 341,846 - Button.right
1.72540 - 324,867 - Button.right
1.85977 - 318,892 - Button.right
1.96101 - 321,894 - Button.right
2.06666 - 350,912 - Button.right
2.20706 - 13,1074 - Button.right
2.87802 - 1227,392 - Button.right
2.99923 - 1243,381 - Button.right
3.09258 - 1271,368 - Button.right
3.20309 - 1272,366 - Button.right
3.30866 - 1317,356 - Button.right
3.43796 - 1326,358 - Button.right
3.54483 - 1350,322 - Button.right
3.66718 - 1360,302 - Button.right
3.74839 - 1400,204 - Button.right
3.88284 - 1400,203 - Button.right
3.96428 - 1400,205 - Button.right
4.07393 - 1302,346 - Button.right
4.17613 - 1019,574 - Button.right
4.29125 - 846,798 - Button.right
4.39217 - 908,853 - Button.right
4.51220 - 1000,882 - Button.right
4.61200 - 1301,837 - Button.right
4.73510 - 1294,838 - Button.right
4.84516 - 1375,772 - Button.right
4.97078 - 1374,772 - Button.right
5.11500 - 1468,541 - Button.right
5.21791 - 1469,443 - Button.right
5.33074 - 1550,309 - Button.right
5.44702 - 1556,293 - Button.right
5.54925 - 1597,233 - Button.right
5.65758 - 1595,231 - Button.right
5.75810 - 1561,220 - Button.right
5.87912 - 1492,255 - Button.right
5.96365 - 1482,270 - Button.right
6.07639 - 1209,430 - Button.right
6.16447 - 1109,498 - Button.right
6.27771 - 963,601 - Button.right
6.37922 - 959,624 - Button.right
6.51326 - 939,644 - Button.right
6.64862 - 886,536 - Button.right
6.77669 - 887,520 - Button.right
6.93127 - 1202,87 - Button.right
7.04212 - 1296,55 - Button.right
7.13374 - 1466,75 - Button.right
7.26616 - 1489,187 - Button.right
7.37112 - 1486,194 - Button.right
7.49597 - 1432,194 - Button.right
7.55869 - 1420,179 - Button.right
7.67322 - 1420,181 - Button.right
7.74518 - 1421,181 - Button.right
7.86189 - 1429,192 - Button.right
7.95711 - 1430,239 - Button.right
8.06518 - 1435,254 - Button.right
8.19434 - 1436,232 - Button.right
8.29692 - 1436,232 - Button.right
8.41943 - 1401,292 - Button.right
8.54526 - 1206,513 - Button.right
8.64410 - 1205,626 - Button.right
8.76509 - 1230,778 - Button.right
8.93240 - 1466,790 - Button.right
9.07920 - 1335,868 - Button.right
9.20908 - 1652,524 - Button.right
9.31650 - 1680,377 - Button.right
9.38423 - 1700,191 - Button.right
9.49527 - 1697,223 - Button.right
9.59124 - 1751,227 - Button.right
9.69250 - 1716,222 - Button.right
9.80853 - 1717,221 - Button.right
9.89248 - 1717,221 - Button.right
11.77688 - 1638,235 - Button.left
12.52135 - 1024,640 - Button.left
13.24988 - 1651,221 - Button.left
13.57703 - 1024,640 - Button.left
14.54682 - 1546,307 - Button.right
14.65658 - 1546,307 - Button.right
18.72486 - 941,719 - Button.right
18.80534 - 930,720 - Button.right
18.90853 - 895,757 - Button.right
18.99782 - 906,756 - Button.right
19.09925 - 788,808 - Button.right
19.19317 - 789,809 - Button.right
19.29365 - 767,823 - Button.right
19.39722 - 745,834 - Button.right
19.58780 - 626,863 - Button.right
19.70859 - 625,863 - Button.right
19.87441 - 559,860 - Button.right
19.92904 - 176,1146 - Button.right
20.17753 - 712,799 - Button.right
20.28939 - 710,816 - Button.right
20.38005 - 680,847 - Button.right
20.48382 - 684,848 - Button.right
21.43403 - 535,892 - Button.right
21.54438 - 533,891 - Button.right
21.72944 - 522,893 - Button.right
21.79942 - 509,893 - Button.right
22.54240 - 803,740 - Button.right
22.63482 - 900,690 - Button.right
22.72738 - 898,691 - Button.right
22.84459 - 905,697 - Button.right
23.01671 - 1034,761 - Button.right
23.10848 - 1022,793 - Button.right
23.23061 - 1035,889 - Button.right
23.34077 - 1011,907 - Button.right
23.45246 - 955,922 - Button.right
23.52541 - 605,1047 - Button.right
23.78620 - 612,872 - Button.right
23.88892 - 601,874 - Button.right
23.98560 - 401,899 - Button.right
24.08087 - 311,879 - Button.right
24.18507 - 301,854 - Button.right
24.31149 - 301,854 - Button.right
24.76350 - 839,788 - Button.right
24.85963 - 784,806 - Button.right
24.96155 - 772,829 - Button.right
25.07065 - 811,871 - Button.right
25.18686 - 976,908 - Button.right
25.29660 - 978,914 - Button.right
25.44540 - 786,880 - Button.right
25.58257 - 678,859 - Button.right
25.68106 - 722,844 - Button.right
25.81315 - 711,844 - Button.right
28.06699 - 737,576 - Button.right
28.16476 - 598,698 - Button.right
28.25628 - 650,721 - Button.right
28.35058 - 917,667 - Button.right
28.47545 - 1310,462 - Button.right
28.58559 - 1318,538 - Button.right
28.67168 - 1367,542 - Button.right
28.77767 - 1388,586 - Button.right
28.86351 - 1376,595 - Button.right
28.96908 - 1426,485 - Button.right
29.04437 - 1439,387 - Button.right
29.15313 - 1410,368 - Button.right
29.22705 - 1419,363 - Button.right
29.33966 - 1217,419 - Button.right
29.40541 - 1054,561 - Button.right
29.52375 - 595,880 - Button.right
29.61983 - 569,972 - Button.right
29.72466 - 365,1270 - Button.right
30.20188 - 330,840 - Button.right
30.30330 - 339,859 - Button.right
30.41366 - 361,889 - Button.right
30.52520 - 322,893 - Button.right
31.08906 - 551,830 - Button.right
31.20508 - 512,855 - Button.right
31.29086 - 547,860 - Button.right
31.38869 - 522,889 - Button.right
31.47679 - 534,904 - Button.right
31.60465 - 538,901 - Button.right
32.82374 - 716,704 - Button.right
32.91462 - 715,709 - Button.right
33.02065 - 706,779 - Button.right
33.12126 - 666,801 - Button.right
33.22703 - 621,795 - Button.right
33.32920 - 455,789 - Button.right
33.45575 - 403,812 - Button.right
33.54969 - 432,831 - Button.right
33.66473 - 452,866 - Button.right
33.76226 - 471,885 - Button.right
33.87924 - 688,900 - Button.right
34.00519 - 596,927 - Button.right
34.14121 - 174,902 - Button.right
34.26496 - 7,1090 - Button.right
34.60450 - 676,789 - Button.right
34.70117 - 676,775 - Button.right
34.83966 - 650,757 - Button.right
34.95050 - 842,697 - Button.right
35.04270 - 865,800 - Button.right
35.15304 - 460,871 - Button.right
35.23668 - 446,874 - Button.right
35.34757 - 432,895 - Button.right
35.44965 - 239,1048 - Button.right
35.54878 - 8,1273 - Button.right
36.26062 - 708,790 - Button.right
36.35181 - 765,761 - Button.right
36.46167 - 942,706 - Button.right
36.56219 - 931,683 - Button.right
36.67025 - 964,687 - Button.right
36.78875 - 895,688 - Button.right
36.90382 - 828,586 - Button.right
37.02317 - 836,585 - Button.right
37.12677 - 985,603 - Button.right
37.24493 - 1005,682 - Button.right
37.33989 - 1064,715 - Button.right
37.43393 - 1081,717 - Button.right
37.55649 - 1189,644 - Button.right
37.65511 - 1197,646 - Button.right
37.78870 - 1390,536 - Button.right
37.89270 - 1396,480 - Button.right
38.01148 - 1422,326 - Button.right
38.13310 - 1404,181 - Button.right
38.19315 - 1403,175 - Button.right
38.29977 - 1390,171 - Button.right
38.36868 - 1305,147 - Button.right
38.49415 - 1247,271 - Button.right
38.57077 - 1455,286 - Button.right
38.69079 - 1558,310 - Button.right
38.77028 - 1347,320 - Button.right
38.87285 - 866,488 - Button.right
38.95287 - 661,523 - Button.right
39.07711 - 505,764 - Button.right
39.15311 - 491,762 - Button.right
39.28296 - 427,884 - Button.right
39.35109 - 420,881 - Button.right
39.47831 - 422,892 - Button.right
39.56063 - 416,897 - Button.right
39.68537 - 412,935 - Button.right
39.78156 - 412,951 - Button.right
39.91997 - 395,946 - Button.right
40.01295 - 378,932 - Button.right
40.14686 - 378,934 - Button.right
40.24862 - 365,932 - Button.right
40.37076 - 351,935 - Button.right
40.71918 - 1139,652 - Button.right
40.82358 - 1101,697 - Button.right
40.92936 - 1059,635 - Button.right
41.04407 - 1067,627 - Button.right
41.14173 - 1141,575 - Button.right
41.25405 - 1134,579 - Button.right
41.36895 - 1239,320 - Button.right
41.45933 - 1321,229 - Button.right
41.57482 - 1482,81 - Button.right
41.70859 - 1511,97 - Button.right
41.77502 - 1575,201 - Button.right
41.90087 - 1629,252 - Button.right
41.98192 - 1631,231 - Button.right
