z,y,x,button
0.006,-110,2028,right
0.099,-108,2036,right
1.015,-6,2041,right
1.126,-120,1914,right
1.218,-121,1914,right
1.315,-119,1914,right
6.122,-812,1151,right
6.216,-812,1151,right
6.310,-812,1151,right
6.418,-812,1150,right
7.159,-759,1140,right
7.273,-758,1139,right
8.396,-753,1200,right
8.491,-753,1201,right
11.372,-668,727,right
11.474,-663,715,right
11.583,-666,701,right
11.710,-683,655,right
13.900,-272,1141,right
13.972,-272,1141,right
14.065,-272,1148,right
14.167,-275,1155,right
14.347,-283,1236,right
14.448,-283,1242,right
15.056,-430,701,right
15.137,-446,655,right
15.254,-461,650,right
15.355,-474,618,right
15.714,-480,1305,right
15.787,-479,1306,right
17.326,-325,1520,right
17.439,-673,882,right
17.503,-747,773,right
17.782,-947,490,right
18.609,-980,387,right
18.702,-981,384,right
19.183,-688,997,right
19.270,-679,1009,right
19.860,-458,1185,right
19.957,-770,653,right
20.044,-772,544,right
20.140,-903,439,right
20.215,-911,424,right
20.333,-930,425,right
20.415,-943,424,right
20.526,-962,414,right
20.611,-979,373,right
20.718,-1014,308,right
20.800,-1021,290,right
20.913,-1020,290,right
21.022,-1022,292,right
21.145,-1056,255,right
21.237,-1065,250,right
21.347,-1068,248,right
22.042,-847,681,right
22.121,-848,685,right
22.233,-844,728,right
22.323,-840,716,right
22.536,-781,518,right
22.632,-777,394,right
22.729,-786,376,right
22.832,-813,321,right
23.338,-798,813,right
23.417,-796,813,right
23.535,-731,982,right
23.629,-724,991,right
24.585,-707,1111,right
24.662,-820,620,right
24.769,-826,567,right
24.853,-871,490,right
24.940,-874,482,right
25.065,-945,403,right
25.128,-950,398,right
25.242,-953,378,right
25.309,-953,374,right
25.441,-1023,333,right
25.516,-1077,273,right
25.633,-1096,231,right
25.723,-1097,225,right
25.843,-1132,111,right
26.500,-572,715,right
26.597,-577,584,right
26.720,-616,429,right
26.819,-620,420,right
27.368,-659,490,right
27.457,-660,490,right
27.615,-685,569,right
27.684,-713,598,right
29.122,-631,513,right
29.207,-631,411,right
29.306,-670,373,right
29.427,-702,371,right
29.521,-799,335,right
29.655,-960,301,right
29.734,-1009,293,right
29.877,-1092,290,right
30.175,-1059,318,right
30.269,-1059,318,right
31.121,-944,217,right
31.215,-943,209,right
31.319,-957,161,right
31.414,-1132,0,right
31.743,-929,887,right
31.824,-926,886,right
31.941,-926,863,right
32.043,-944,761,right
32.773,-768,487,right
32.860,-768,489,right
33.000,-740,631,right
33.099,-742,639,right
33.361,-640,1253,right
33.470,-644,1253,right
35.237,-600,1105,right
35.301,-651,1067,right
35.408,-691,1014,right
35.531,-766,897,right
35.616,-864,822,right
35.741,-900,805,right
35.812,-907,801,right
35.937,-908,800,right
36.025,-909,800,right
36.120,-909,799,right
36.222,-910,799,right
36.334,-912,794,right
36.435,-912,794,right
36.536,-912,792,right
36.908,-628,1042,right
36.996,-600,1025,right
37.102,-571,918,right
37.212,-583,830,right
37.326,-596,796,right
37.416,-598,784,right
37.555,-574,810,right
37.639,-573,813,right
38.095,-650,1043,right
38.164,-654,1046,right
38.262,-684,1068,right
38.381,-756,1045,right
38.463,-789,1030,right
38.578,-824,1013,right
38.970,-730,1212,right
39.068,-723,1193,right
39.172,-689,1130,right
39.278,-686,1097,right
41.646,-870,785,right
41.754,-838,711,right
41.843,-839,713,right
41.939,-840,714,right
42.052,-827,778,right
42.142,-830,786,right
42.989,-676,887,right
43.098,-669,886,right
43.190,-664,883,right
43.297,-660,870,right
43.910,-449,1004,right
43.989,-483,941,right
44.102,-539,956,right
44.201,-600,950,right
44.307,-649,909,right
44.430,-691,843,right
45.326,-620,1109,right
45.417,-671,752,right
45.518,-690,466,right
45.616,-817,407,right
45.688,-817,404,right
45.795,-845,397,right
45.886,-847,396,right
46.001,-846,396,right
46.072,-846,396,right
46.190,-846,396,right
46.293,-841,400,right
46.393,-841,400,right
47.093,-735,343,right
47.199,-752,321,right
47.669,-605,441,right
47.767,-601,444,right
47.874,-568,497,right
47.965,-567,499,right
48.076,-567,501,right
48.182,-574,499,right
48.588,-667,686,right
48.673,-726,665,right
48.770,-757,656,right
48.893,-825,577,right
49.186,-767,799,right
49.275,-767,793,right
49.424,-653,763,right
49.544,-623,697,right
49.688,-599,650,right
49.766,-599,648,right
51.086,-614,558,right
51.192,-671,485,right
51.313,-722,472,right
51.409,-759,477,right
52.288,-544,704,right
52.360,-536,682,right
52.496,-537,643,right
52.585,-538,583,right
52.729,-440,679,right
52.830,-427,719,right
52.915,-405,865,right
53.035,-405,861,right
55.272,-508,745,right
55.394,-543,669,right
55.473,-563,698,right
55.584,-675,650,right
55.673,-679,657,right
55.789,-766,666,right
56.086,-490,688,right
56.171,-469,667,right
56.279,-400,834,right
56.381,-393,850,right
56.482,-361,874,right
56.576,-359,876,right
58.807,-357,896,right
58.900,-412,782,right
58.989,-458,792,right
59.094,-494,754,right
59.181,-524,709,right
59.299,-540,645,right
59.389,-542,633,right
59.503,-544,606,right
59.605,-545,605,right
59.716,-548,595,right
59.843,-565,595,right
59.953,-637,572,right
60.049,-716,609,right
60.163,-765,622,right
60.806,-703,941,right
60.888,-781,843,right
60.998,-802,818,right
61.110,-814,796,right
61.675,-540,999,right
61.773,-542,897,right
61.873,-542,886,right
61.955,-537,862,right
62.958,-429,986,right
63.055,-642,671,right
63.145,-680,657,right
63.257,-793,614,right
63.353,-831,595,right
63.477,-873,591,right
63.620,-909,606,right
63.745,-921,608,right
64.325,-877,802,right
64.451,-886,809,right
65.031,-845,992,right
65.125,-841,994,right
65.246,-710,912,right
65.342,-679,810,right
65.455,-642,772,right
65.555,-633,732,right
67.373,-220,1563,right
67.493,-219,1566,right
69.456,-668,1218,right
69.540,-781,1216,right
69.645,-817,1241,right
69.746,-820,1244,right
69.877,-794,1271,right
69.966,-793,1271,right
70.116,-660,1372,right
70.224,-656,1380,right
70.680,-565,1488,right
70.765,-592,1454,right
70.847,-597,1447,right
70.946,-612,1453,right
71.120,-453,1459,left
71.374,-640,1024,left
71.867,-483,1605,left
72.146,-464,1169,left
72.477,-428,1560,left
72.694,-640,1024,left
72.866,-506,1312,right
72.952,-548,1284,right
73.045,-579,1296,right
73.151,-663,1270,right
73.244,-684,1264,right
73.332,-560,1341,right
74.147,-511,1648,right
74.220,-619,1619,right
74.313,-619,1631,right
74.416,-647,1615,right
74.507,-797,1504,right
74.619,-804,1485,right
74.692,-798,1491,right
74.810,-786,1494,right
75.363,-476,1560,right
75.460,-539,1511,right
75.541,-549,1492,right
75.653,-759,1249,right
75.732,-830,1174,right
75.841,-944,1082,right
75.926,-932,1058,right
76.038,-956,989,right
76.108,-988,947,right
76.244,-1019,936,right
76.318,-1027,928,right
76.448,-1038,900,right
76.555,-1030,869,right
76.658,-1010,816,right
76.761,-842,741,right
76.873,-840,720,right
79.073,-492,1236,right
79.187,-817,732,right
79.274,-836,712,right
79.395,-866,643,right
79.479,-866,641,right
79.606,-862,613,right
79.693,-857,606,right
79.809,-856,580,right
79.921,-829,558,right
80.024,-829,552,right
80.263,-580,513,right
80.353,-548,522,right
80.453,-510,594,right
80.555,-523,566,right
83.480,-418,1484,right
83.577,-618,916,right
83.668,-670,819,right
83.783,-759,639,right
83.867,-775,610,right
83.994,-831,572,right
84.135,-880,497,right
84.252,-898,443,right
84.347,-901,439,right
84.471,-905,424,right
84.772,-918,371,right
84.886,-927,358,right
85.923,-939,728,right
86.034,-982,765,right
86.142,-966,807,right
86.226,-941,806,right
87.487,-559,859,right
87.591,-842,528,right
87.675,-884,509,right
87.797,-884,526,right
87.884,-904,533,right
88.005,-917,527,right
88.101,-935,515,right
88.212,-949,489,right
88.296,-949,487,right
88.405,-949,489,right
88.523,-933,492,right
88.626,-931,479,right
88.763,-825,432,right
88.833,-816,424,right
90.688,-429,906,right
90.774,-708,416,right
90.875,-788,310,right
90.993,-944,161,right
91.078,-1027,160,right
91.202,-1100,149,right
91.620,-964,554,right
91.729,-963,583,right
91.831,-982,594,right
91.943,-982,593,right
92.074,-980,544,right
92.196,-995,498,right
92.301,-998,429,right
92.412,-1008,331,right
93.757,-635,989,right
93.848,-800,500,right
93.944,-886,328,right
94.057,-950,295,right
94.712,-475,594,right
94.832,-468,596,right
96.246,-754,942,right
96.364,-908,880,right
96.458,-976,888,right
96.589,-996,887,right
98.353,-554,909,right
98.467,-885,512,right
98.547,-917,491,right
98.656,-1029,546,right
98.800,-886,1101,right
98.929,-853,1168,right
99.015,-816,1239,right
99.123,-806,1245,right
99.250,-749,1316,right
99.332,-697,1343,right
100.639,-515,1465,right
100.740,-737,1317,right
100.829,-795,1297,right
100.958,-903,1163,right
101.036,-929,1069,right
101.148,-946,980,right
101.249,-951,940,right
101.351,-955,920,right
101.577,-725,854,right
101.686,-564,822,right
101.800,-415,835,right
101.906,-377,852,right
103.503,-517,1100,right
103.600,-581,907,right
103.706,-544,818,right
103.832,-526,743,right
105.606,-388,1076,right
105.710,-435,820,right
105.796,-399,740,right
105.913,-380,643,right
105.995,-377,625,right
106.123,-389,602,right
106.212,-400,589,right
106.313,-402,564,right
106.424,-398,562,right
106.527,-393,519,right
106.662,-168,392,right
106.759,-63,271,right
106.907,-114,433,right
107.035,-160,377,right
107.670,-0,0,right
107.842,-211,85,right
107.997,-343,429,right
108.116,-337,388,right
108.944,-1079,874,left
109.026,-1073,870,left
110.024,-380,571,right
110.131,-580,284,right
110.216,-639,266,right
110.336,-754,204,right
110.473,-945,106,right
110.532,-953,105,right
111.532,-1100,954,left
111.628,-1099,954,left
112.073,-937,934,right
112.170,-916,931,right
112.266,-886,982,right
112.375,-921,992,right
112.468,-956,1004,right
112.584,-960,1015,right
112.728,-973,1058,right
112.853,-975,1063,right
113.558,-870,1132,right
113.646,-868,1132,right
113.759,-809,1140,right
113.855,-808,1147,right
113.969,-751,1200,right
114.079,-753,1209,right
114.530,-569,1147,right
114.627,-569,1149,right
114.731,-539,1207,right
114.828,-540,1210,right
116.484,-432,1317,right
116.591,-602,837,right
116.676,-690,690,right
116.799,-774,588,right
116.867,-772,487,right
116.999,-835,387,right
117.070,-837,363,right
117.193,-860,288,right
117.266,-807,169,right
117.397,-819,111,right
117.462,-819,108,right
117.593,-837,99,right
117.681,-839,99,right
117.802,-849,92,right
117.886,-849,91,right
118.010,-851,83,right
118.660,-937,473,right
118.776,-941,479,right
118.878,-983,486,right
118.969,-1021,484,right
119.075,-1023,495,right
119.194,-1044,455,right
119.519,-967,669,right
119.612,-963,689,right
119.722,-946,768,right
119.832,-947,754,right
119.987,-800,939,right
120.093,-798,939,right
120.214,-744,1038,right
120.318,-745,1042,right
120.425,-759,1074,right
120.535,-808,1048,right
120.646,-794,1067,right
120.753,-796,1071,right
120.882,-812,1071,right
120.986,-819,1078,right
121.211,-612,1291,right
121.325,-613,1292,right
121.436,-613,1292,right
121.536,-622,1299,right
121.784,-641,981,right
121.906,-661,919,right
122.023,-669,891,right
122.124,-675,850,right
122.866,-435,924,right
122.975,-456,913,right
123.074,-498,904,right
123.189,-526,883,right
124.434,-644,855,right
124.537,-719,816,right
124.632,-756,811,right
124.753,-785,810,right
125.130,-780,1040,right
125.235,-781,1033,right
125.381,-743,1025,right
125.469,-652,869,right
125.565,-561,811,right
125.668,-560,812,right
126.573,-419,1469,left
127.102,-640,1024,left
133.116,-1241,1307,left
133.221,-1241,1307,left
135.245,-415,1417,right
135.343,-415,1416,right
135.447,-416,1414,right
135.546,-428,1365,right
135.647,-437,1360,right
135.766,-464,1329,right
135.869,-477,1320,right
136.018,-496,1305,right
136.745,-713,903,right
136.860,-755,777,right
136.962,-790,726,right
137.067,-820,651,right
137.203,-821,644,right
137.307,-821,644,right
137.496,-845,957,right
137.594,-849,972,right
137.717,-820,1201,right
137.809,-819,1203,right
137.913,-754,1252,right
138.027,-753,1249,right
139.490,-599,1188,right
139.581,-814,897,right
139.664,-905,798,right
139.775,-990,713,right
139.846,-1013,685,right
139.973,-1050,627,right
140.055,-1057,613,right
140.177,-1086,561,right
140.271,-1092,551,right
140.399,-1096,543,right
141.627,-1033,415,right
141.730,-999,476,right
141.837,-960,512,right
141.935,-958,501,right
142.908,-833,616,right
142.995,-832,617,right
144.918,-604,905,right
145.041,-896,347,right
145.109,-875,367,right
145.222,-930,366,right
145.303,-933,363,right
145.425,-941,351,right
145.501,-934,334,right
145.612,-963,224,right
145.695,-974,157,right
145.821,-974,152,right
145.902,-979,129,right
146.025,-1148,0,right
146.482,-748,512,right
146.569,-735,488,right
146.666,-737,366,right
146.773,-740,327,right
148.770,-540,600,right
148.848,-521,601,right
148.952,-428,633,right
149.065,-434,648,right
149.436,-687,1183,right
149.551,-759,1136,right
149.652,-759,1155,right
149.747,-757,1163,right
149.851,-721,1350,right
149.965,-722,1352,right
151.647,-573,1152,right
151.731,-715,750,right
151.817,-782,333,right
151.943,-739,326,right
152.007,-738,332,right
152.297,-819,189,right
152.388,-805,202,right
152.505,-811,216,right
152.569,-809,225,right
152.691,-809,225,right
152.765,-804,205,right
152.878,-832,159,right
153.464,-821,712,right
153.568,-835,731,right
157.979,-1259,1318,left
158.075,-1259,1318,left
162.626,-374,1279,right
162.758,-374,1279,right
163.765,-1126,1884,left
163.867,-1124,1882,left
167.726,-721,674,right
167.809,-723,667,right
167.914,-748,643,right
168.013,-765,618,right
168.104,-776,609,right
168.200,-785,598,right
168.293,-787,659,right
168.395,-795,652,right
168.469,-797,646,right
168.586,-802,648,right
169.472,-588,1213,right
169.569,-751,768,right
169.652,-811,598,right
169.741,-832,561,right
169.836,-848,598,right
169.918,-849,706,right
170.724,-499,1490,right
170.839,-814,1165,right
170.924,-835,1033,right
171.033,-907,770,right
171.110,-961,574,right
171.226,-1022,466,right
171.311,-1023,439,right
171.417,-1024,434,right
171.507,-1028,431,right
171.632,-1038,426,right
171.727,-1044,410,right
171.845,-1047,342,right
171.927,-1029,289,right
172.046,-1025,282,right
172.147,-1023,281,right
172.260,-1025,268,right
172.349,-1013,236,right
172.471,-1014,156,right
172.571,-1020,0,right
172.622,-1045,0,right
174.292,-703,1322,right
174.379,-797,1294,right
174.487,-866,1289,right
174.589,-988,1160,right
174.678,-1070,1033,right
174.790,-1124,904,right
175.091,-893,681,right
175.192,-900,652,right
175.283,-907,594,right
175.383,-916,587,right
176.342,-1101,870,left
176.429,-1101,870,left
176.703,-832,1016,right
176.814,-859,994,right
176.941,-875,887,right
177.042,-732,862,right
177.137,-609,864,right
177.240,-602,809,right
177.324,-539,876,right
177.430,-520,919,right
177.794,-366,1164,right
177.902,-380,1165,right
177.996,-408,1201,right
178.089,-407,1212,right
179.726,-363,1465,right
179.820,-738,805,right
179.900,-813,622,right
180.015,-820,597,right
180.082,-822,560,right
180.186,-832,538,right
180.281,-832,536,right
180.391,-835,521,right
180.483,-832,510,right
180.593,-848,457,right
180.681,-840,427,right
180.785,-851,394,right
180.876,-852,390,right
180.994,-853,386,right
181.090,-852,364,right
181.220,-860,332,right
181.865,-1193,357,right
181.975,-1189,358,right
182.251,-892,625,right
182.365,-909,670,right
182.455,-915,681,right
182.557,-916,684,right
182.656,-899,770,right
182.765,-907,793,right
182.868,-895,841,right
183.003,-893,845,right
183.126,-841,951,right
183.237,-838,956,right
183.369,-758,1024,right
183.483,-736,1034,right
183.573,-681,1072,right
183.695,-677,1079,right
183.781,-605,1180,right
183.889,-567,1233,right
184.550,-505,1550,right
184.633,-521,1501,right
184.719,-527,1482,right
184.814,-538,1470,right
185.384,-402,1111,right
185.511,-448,1012,right
185.602,-446,1001,right
185.717,-446,999,right
185.869,-472,861,right
185.977,-477,818,right
186.086,-479,799,right
186.196,-477,781,right
186.304,-467,744,right
186.426,-462,735,right
186.897,-376,824,right
186.989,-410,781,right
187.107,-465,784,right
187.207,-560,757,right
187.333,-697,888,right
187.448,-794,862,right
187.542,-839,878,right
