time,actions
0,42
1,57
2,17
3,29
4,62
5,53
6,36
7,46
8,58
9,45
10,53
11,54
12,50
13,56
14,57
15,53
16,64
17,47
18,40
19,48
20,61
21,49
22,64
23,77
24,53
25,44
26,52
27,34
28,37
29,20
30,6
31,40
32,33
33,26
34,37
35,59
36,91
37,49
38,51
39,10
40,82
41,7
42,8
44,37
45,41
46,39
47,28
48,59
49,38
50,11
51,21
52,60
53,11
54,18
55,23
56,29
57,52
58,61
59,53
60,81
61,64
62,11
63,9
64,42
65,44
66,37
67,34
68,38
69,31
70,30
71,70
72,86
73,75
74,95
75,68
76,22
77,38
78,5
79,3
80,7
81,101
82,6
83,48
84,9
85,34
86,67
87,36
88,40
89,47
90,26
91,49
92,97
93,84
94,61
95,38
97,31
98,73
99,62
100,22
101,2
102,5
103,28
104,35
106,2
107,21
108,73
109,40
110,38
111,96
112,87
113,37
114,7
115,56
116,83
118,2
