z,y,x,button
0.526,-131,1510,right
0.687,-156,1505,right
0.772,-162,1499,right
0.891,-496,1100,right
0.963,-689,997,right
1.092,-792,697,right
1.143,-801,637,right
1.283,-897,411,right
1.370,-911,379,right
1.494,-910,379,right
1.600,-846,341,right
1.725,-867,324,right
1.860,-892,318,right
1.961,-894,321,right
2.067,-912,350,right
2.207,-1074,13,right
2.878,-392,1227,right
2.999,-381,1243,right
3.093,-368,1271,right
3.203,-366,1272,right
3.309,-356,1317,right
3.438,-358,1326,right
3.545,-322,1350,right
3.667,-302,1360,right
3.748,-204,1400,right
3.883,-203,1400,right
3.964,-205,1400,right
4.074,-346,1302,right
4.176,-574,1019,right
4.291,-798,846,right
4.392,-853,908,right
4.512,-882,1000,right
4.612,-837,1301,right
4.735,-838,1294,right
4.845,-772,1375,right
4.971,-772,1374,right
5.115,-541,1468,right
5.218,-443,1469,right
5.331,-309,1550,right
5.447,-293,1556,right
5.549,-233,1597,right
5.658,-231,1595,right
5.758,-220,1561,right
5.879,-255,1492,right
5.964,-270,1482,right
6.076,-430,1209,right
6.164,-498,1109,right
6.278,-601,963,right
6.379,-624,959,right
6.513,-644,939,right
6.649,-536,886,right
6.777,-520,887,right
6.931,-87,1202,right
7.042,-55,1296,right
7.134,-75,1466,right
7.266,-187,1489,right
7.371,-194,1486,right
7.496,-194,1432,right
7.559,-179,1420,right
7.673,-181,1420,right
7.745,-181,1421,right
7.862,-192,1429,right
7.957,-239,1430,right
8.065,-254,1435,right
8.194,-232,1436,right
8.297,-232,1436,right
8.419,-292,1401,right
8.545,-513,1206,right
8.644,-626,1205,right
8.765,-778,1230,right
8.932,-790,1466,right
9.079,-868,1335,right
9.209,-524,1652,right
9.316,-377,1680,right
9.384,-191,1700,right
9.495,-223,1697,right
9.591,-227,1751,right
9.693,-222,1716,right
9.809,-221,1717,right
9.892,-221,1717,right
11.777,-235,1638,left
12.521,-640,1024,left
13.250,-221,1651,left
13.577,-640,1024,left
14.547,-307,1546,right
14.657,-307,1546,right
18.725,-719,941,right
18.805,-720,930,right
18.909,-757,895,right
18.998,-756,906,right
19.099,-808,788,right
19.193,-809,789,right
19.294,-823,767,right
19.397,-834,745,right
19.588,-863,626,right
19.709,-863,625,right
19.874,-860,559,right
19.929,-1146,176,right
20.178,-799,712,right
20.289,-816,710,right
20.380,-847,680,right
20.484,-848,684,right
21.434,-892,535,right
21.544,-891,533,right
21.729,-893,522,right
21.799,-893,509,right
22.542,-740,803,right
