time,actions
0,8
1,11
2,4
3,2
4,56
6,10
7,10
8,22
9,47
10,67
11,65
12,59
13,44
14,52
15,53
16,62
17,86
18,60
19,55
20,28
21,11
22,17
23,89
24,78
25,71
26,36
27,94
28,50
29,7
30,60
31,37
32,69
33,75
34,7
35,25
36,30
37,48
38,32
39,33
40,8
41,17
42,39
43,39
44,35
45,32
46,38
47,40
48,35
49,103
50,38
51,8
52,29
53,89
54,70
55,21
56,13
57,99
58,56
59,41
60,73
61,14
62,6
63,54
64,7
65,12
66,15
67,20
68,88
69,46
70,20
71,67
72,73
73,58
74,90
75,22
76,19
77,79
78,9
79,13
80,3
81,95
82,56
83,39
84,9
85,8
86,14
87,47
88,44
89,75
90,48
91,4
92,48
93,26
94,2
95,6
96,20
97,29
98,46
99,49
100,9
101,33
102,30
103,26
105,15
106,3
107,30
108,28
109,4
110,12
111,24
112,24
113,14
114,37
115,38
116,5
119,14
120,19
121,63
122,35
123,3
124,5
125,2
126,10
127,41
128,57
129,19
130,6
131,3
133,6
134,28
135,88
136,39
137,70
138,56
140,2
