0.00612 - 2028,110 - Button.right
0.09852 - 2036,108 - Button.right
1.01512 - 2041,6 - Button.right
1.12571 - 1914,120 - Button.right
1.21850 - 1914,121 - Button.right
1.31513 - 1914,119 - Button.right
6.12194 - 1151,812 - Button.right
6.21603 - 1151,812 - Button.right
6.30963 - 1151,812 - Button.right
6.41850 - 1150,812 - Button.right
7.15856 - 1140,759 - Button.right
7.27340 - 1139,758 - Button.right
8.39633 - 1200,753 - Button.right
8.49137 - 1201,753 - Button.right
11.37219 - 727,668 - Button.right
11.47449 - 715,663 - Button.right
11.58268 - 701,666 - Button.right
11.71029 - 655,683 - Button.right
13.89967 - 1141,272 - Button.right
13.97162 - 1141,272 - Button.right
14.06473 - 1148,272 - Button.right
14.16677 - 1155,275 - Button.right
14.34677 - 1236,283 - Button.right
14.44830 - 1242,283 - Button.right
15.05552 - 701,430 - Button.right
15.13692 - 655,446 - Button.right
15.25422 - 650,461 - Button.right
15.35513 - 618,474 - Button.right
15.71359 - 1305,480 - Button.right
15.78655 - 1306,479 - Button.right
17.32598 - 1520,325 - Button.right
17.43943 - 882,673 - Button.right
17.50283 - 773,747 - Button.right
17.78221 - 490,947 - Button.right
18.60869 - 387,980 - Button.right
18.70185 - 384,981 - Button.right
19.18259 - 997,688 - Button.right
19.26976 - 1009,679 - Button.right
19.85986 - 1185,458 - Button.right
19.95737 - 653,770 - Button.right
20.04360 - 544,772 - Button.right
20.13988 - 439,903 - Button.right
20.21497 - 424,911 - Button.right
20.33288 - 425,930 - Button.right
20.41487 - 424,943 - Button.right
20.52648 - 414,962 - Button.right
20.61058 - 373,979 - Button.right
20.71793 - 308,1014 - Button.right
20.79999 - 290,1021 - Button.right
20.91293 - 290,1020 - Button.right
21.02207 - 292,1022 - Button.right
21.14460 - 255,1056 - Button.right
21.23692 - 250,1065 - Button.right
21.34745 - 248,1068 - Button.right
22.04159 - 681,847 - Button.right
22.12138 - 685,848 - Button.right
22.23318 - 728,844 - Button.right
22.32292 - 716,840 - Button.right
22.53629 - 518,781 - Button.right
22.63194 - 394,777 - Button.right
22.72924 - 376,786 - Button.right
22.83246 - 321,813 - Button.right
23.33777 - 813,798 - Button.right
23.41659 - 813,796 - Button.right
23.53542 - 982,731 - Button.right
23.62852 - 991,724 - Button.right
24.58536 - 1111,707 - Button.right
24.66203 - 620,820 - Button.right
24.76945 - 567,826 - Button.right
24.85255 - 490,871 - Button.right
24.94042 - 482,874 - Button.right
25.06507 - 403,945 - Button.right
25.12811 - 398,950 - Button.right
25.24158 - 378,953 - Button.right
25.30907 - 374,953 - Button.right
25.44052 - 333,1023 - Button.right
25.51640 - 273,1077 - Button.right
25.63256 - 231,1096 - Button.right
25.72282 - 225,1097 - Button.right
25.84300 - 111,1132 - Button.right
26.49969 - 715,572 - Button.right
26.59728 - 584,577 - Button.right
26.71991 - 429,616 - Button.right
26.81899 - 420,620 - Button.right
27.36801 - 490,659 - Button.right
27.45704 - 490,660 - Button.right
27.61541 - 569,685 - Button.right
27.68358 - 598,713 - Button.right
29.12188 - 513,631 - Button.right
29.20683 - 411,631 - Button.right
29.30606 - 373,670 - Button.right
29.42705 - 371,702 - Button.right
29.52070 - 335,799 - Button.right
29.65498 - 301,960 - Button.right
29.73402 - 293,1009 - Button.right
29.87702 - 290,1092 - Button.right
30.17530 - 318,1059 - Button.right
30.26862 - 318,1059 - Button.right
31.12075 - 217,944 - Button.right
31.21509 - 209,943 - Button.right
31.31936 - 161,957 - Button.right
31.41361 - 0,1132 - Button.right
31.74271 - 887,929 - Button.right
31.82448 - 886,926 - Button.right
31.94104 - 863,926 - Button.right
32.04252 - 761,944 - Button.right
32.77303 - 487,768 - Button.right
32.85967 - 489,768 - Button.right
32.99998 - 631,740 - Button.right
33.09852 - 639,742 - Button.right
33.36066 - 1253,640 - Button.right
