1.72575 - 681,503 - Button.left
1.81162 - 681,502 - Button.left
3.85315 - 1121,560 - Button.left
4.64759 - 1244,544 - Button.left
4.86181 - 1250,564 - Button.left
5.45821 - 1265,563 - Button.left
6.27132 - 945,495 - Button.left
6.74747 - 1014,500 - Button.left
6.93738 - 1021,501 - Button.left
7.00839 - 1022,501 - Button.left
7.31483 - 1114,509 - Button.left
7.40937 - 1118,507 - Button.left
7.82056 - 1178,492 - Button.left
7.91609 - 1178,492 - Button.left
10.54986 - 1176,497 - Button.left
11.34042 - 1260,502 - Button.left
11.78754 - 1248,557 - Button.left
12.34944 - 1270,553 - Button.left
13.16883 - 1393,370 - Button.left
13.27130 - 1393,369 - Button.left
16.45606 - 1897,1073 - Button.right
16.58748 - 1907,1074 - Button.right
16.87458 - 1908,1086 - Button.right
16.98736 - 1907,1088 - Button.right
19.50890 - 1772,1012 - Button.right
19.60667 - 1772,1011 - Button.right
23.78209 - 529,633 - Button.right
23.87873 - 529,632 - Button.right
23.96749 - 529,633 - Button.right
24.08698 - 529,633 - Button.right
24.88961 - 594,477 - Button.right
24.99086 - 594,476 - Button.right
25.06697 - 594,477 - Button.right
25.15708 - 593,477 - Button.right
28.33628 - 934,715 - Button.right
28.44588 - 933,714 - Button.right
30.77627 - 685,992 - Button.left
36.63235 - 685,990 - Button.left
36.88471 - 685,989 - Button.left
37.46434 - 698,1059 - Button.left
37.81540 - 985,651 - Button.right
37.91052 - 985,652 - Button.right
37.99673 - 974,660 - Button.right
38.09116 - 970,656 - Button.right
38.17600 - 967,657 - Button.right
38.30981 - 968,657 - Button.right
39.30128 - 848,489 - Button.right
39.36722 - 855,473 - Button.right
39.47529 - 861,424 - Button.right
39.57797 - 851,392 - Button.right
39.66814 - 845,384 - Button.right
39.78487 - 842,380 - Button.right
39.88533 - 815,363 - Button.right
40.00095 - 813,361 - Button.right
40.08819 - 812,361 - Button.right
40.18788 - 801,362 - Button.right
40.72080 - 888,255 - Button.right
40.81920 - 884,263 - Button.right
40.93364 - 788,300 - Button.right
41.04548 - 737,302 - Button.right
41.13747 - 687,323 - Button.right
41.25910 - 686,332 - Button.right
41.89660 - 744,428 - Button.right
42.00160 - 747,427 - Button.right
42.20742 - 909,470 - Button.right
42.33703 - 918,480 - Button.right
42.44462 - 917,485 - Button.right
42.56270 - 918,485 - Button.right
42.89587 - 966,481 - Button.right
42.99635 - 972,484 - Button.right
49.27807 - 926,744 - Button.left
50.33811 - 1290,756 - Button.left
51.22866 - 1252,746 - Button.left
52.53169 - 949,755 - Button.left
57.12879 - 937,486 - Button.left
57.64055 - 1003,490 - Button.left
57.88242 - 1036,499 - Button.left
57.98941 - 1038,500 - Button.left
58.49784 - 1097,497 - Button.left
58.59451 - 1097,497 - Button.left
58.94361 - 1113,496 - Button.left
59.02379 - 1113,496 - Button.left
59.76712 - 1178,914 - Button.left
59.84961 - 1178,912 - Button.left
65.76258 - 1826,1063 - Button.left
65.88189 - 1826,1062 - Button.left
69.93310 - 1078,477 - Button.right
70.03795 - 1078,476 - Button.right
70.13075 - 1080,476 - Button.right
70.24073 - 1080,476 - Button.right
73.81869 - 668,442 - Button.right
73.90679 - 667,442 - Button.right
76.08231 - 641,300 - Button.right
76.18106 - 639,300 - Button.right
76.95654 - 676,225 - Button.right
77.03112 - 676,224 - Button.right
77.15829 - 676,210 - Button.right
77.26621 - 676,209 - Button.right
77.66511 - 575,234 - Button.right
77.75517 - 565,246 - Button.right
77.86507 - 588,464 - Button.right
77.96183 - 589,492 - Button.right
78.03591 - 588,512 - Button.right
78.14363 - 582,520 - Button.right
92.57402 - 1001,292 - Button.right
92.66948 - 1004,282 - Button.right
92.75837 - 983,282 - Button.right
92.86747 - 814,167 - Button.right
93.97444 - 887,368 - Button.right
94.05447 - 898,380 - Button.right
94.15150 - 917,385 - Button.right
94.24372 - 922,381 - Button.right
94.90307 - 1038,354 - Button.right
95.01140 - 1022,370 - Button.right
95.12415 - 1012,383 - Button.right
95.22021 - 981,398 - Button.right
95.33728 - 913,401 - Button.right
95.44452 - 797,381 - Button.right
95.54547 - 776,371 - Button.right
95.65961 - 609,364 - Button.right
95.73494 - 442,377 - Button.right
95.86848 - 396,363 - Button.right
96.47948 - 357,315 - Button.right
96.60308 - 345,301 - Button.right
98.08912 - 1102,223 - Button.right
98.19340 - 1120,244 - Button.right
99.91368 - 995,597 - Button.right
100.03315 - 1140,568 - Button.right
101.01971 - 610,913 - Button.right
101.09340 - 609,913 - Button.right
101.20052 - 581,901 - Button.right
101.29735 - 581,901 - Button.right
102.23162 - 619,821 - Button.right
